seller_id,seller_name,seller_city,joined_date,seller_type
S0036,Chenab Store,Lahore,2024-03-12,Marketplace Seller
S0037,Clifton Store,Karachi,2022-02-07,Marketplace Seller
S0038,Mehran Store,Karachi,2024-03-27,Marketplace Seller
S0039,Clifton Traders,Lahore,2023-05-16,Marketplace Seller
S0040,Crescent Collection,Islamabad,2023-03-13,Marketplace Seller
S0041,Margalla Traders,Gujranwala,2021-11-30,Official Store
S0042,Crescent Store,Lahore,2024-05-16,Marketplace Seller
S0043,Bolan Mart,Sialkot,2022-11-01,Marketplace Seller
S0044,Sitara Collection,Gujranwala,2023-10-13,Official Store
S0045,Chenab Store,Abbottabad,2024-11-05,Marketplace Seller
S0046,Mehran Outlet,Hyderabad,2024-06-04,Marketplace Seller
S0047,Al-Noor Enterprises,Islamabad,2023-07-02,Official Store
S0048,Barkat Enterprises,Karachi,2025-04-09,Marketplace Seller
S0049,Al-Noor Traders,Multan,2022-01-05,Official Store
S0050,Saddar Emporium,Peshawar,2024-02-28,Marketplace Seller
S0051,Bolan Enterprises,Quetta,2023-06-16,Official Store
S0052,Sitara Traders,Karachi,2023-06-29,Marketplace Seller
S0053,Bolan Traders,Lahore,2022-09-01,Marketplace Seller
S0054,Anarkali Collection,Multan,2024-12-01,Marketplace Seller
S0055,Mehran Traders,Karachi,2023-11-15,Marketplace Seller
S0056,Bolan Mart,Lahore,2023-08-28,Marketplace Seller
S0057,Clifton Mart,Gujranwala,2022-10-21,Marketplace Seller
S0058,Crescent Emporium,Karachi,2022-05-31,Marketplace Seller
S0059,Al-Noor Outlet,Islamabad,2024-10-30,Marketplace Seller
S0060,Anarkali Store,Faisalabad,2021-12-08,Official Store
S0061,Chenab Enterprises,Faisalabad,2023-03-07,Marketplace Seller
S0062,Rehmat Emporium,Peshawar,2022-12-20,Marketplace Seller
S0063,Crescent Mart,Lahore,2024-08-11,Marketplace Seller
S0064,Chenab Store,Karachi,2023-08-31,Marketplace Seller
S0065,Mehran Enterprises,Karachi,2021-12-02,Marketplace Seller
S0066,Saddar Collection,Multan,2023-08-23,Official Store
S0067,Sitara Outlet,Karachi,2024-01-03,Official Store
S0068,Liberty Traders,Karachi,2022-04-30,Official Store
S0069,Mehran Traders,Lahore,2023-08-30,Marketplace Seller
S0070,Mehran Mart,Lahore,2023-05-21,Marketplace Seller
S0071,Clifton Traders,Karachi,2022-02-18,Marketplace Seller
S0072,Johar Store,Lahore,2023-05-16,Marketplace Seller
S0073,Sitara Store,Karachi,2024-11-29,Official Store
S0074,Anarkali Outlet,Karachi,2023-02-03,Marketplace Seller
S0075,Ravi Outlet,Multan,2023-08-22,Marketplace Seller
S0076,Johar Enterprises,Karachi,2022-09-13,Marketplace Seller
S0077,Bolan Outlet,Lahore,2022-08-06,Marketplace Seller
S0078,Ravi Collection,Karachi,2023-08-02,Marketplace Seller
S0079,Johar Collection,Lahore,2023-04-05,Marketplace Seller
S0080,Anarkali Mart,Rawalpindi,2023-10-30,Marketplace Seller
S0081,Hayat Outlet,Lahore,2022-07-21,Marketplace Seller
S0082,Bolan Enterprises,Islamabad,2024-08-08,Marketplace Seller
S0083,Rehmat Emporium,Karachi,2024-07-27,Marketplace Seller
S0084,Gulberg Emporium,Peshawar,2021-12-01,Marketplace Seller
S0085,Johar Traders,Faisalabad,2022-09-08,Marketplace Seller
S0086,Barkat Traders,Sialkot,2024-09-05,Marketplace Seller
S0087,Anarkali Enterprises,Faisalabad,2023-01-01,Marketplace Seller
S0088,Barkat Emporium,Karachi,2023-07-25,Official Store
S0089,Crescent Store,Lahore,2023-06-19,Marketplace Seller
S0090,Barkat Enterprises,Faisalabad,2023-05-27,Marketplace Seller
S0091,Crescent Outlet,Karachi,2022-03-23,Official Store
S0092,Liberty Emporium,Lahore,2022-10-16,Marketplace Seller
S0093,Barkat Mart,Hyderabad,2023-01-12,Marketplace Seller
S0094,Rehmat Mart,Lahore,2023-06-12,Official Store
S0095,Madina Outlet,Lahore,2022-09-16,Marketplace Seller
S0096,Indus Store,Gujranwala,2024-03-07,Marketplace Seller
S0097,Crescent Mart,Sukkur,2024-12-20,Marketplace Seller
S0098,Anarkali Traders,Peshawar,2022-09-16,Official Store
S0099,Liberty Emporium,Rawalpindi,2022-09-04,Marketplace Seller
S0100,Barkat Enterprises,Karachi,2022-03-30,Marketplace Seller
S0101,Al-Noor Mart,Gujranwala,2023-04-02,Official Store
S0102,Saddar Outlet,Peshawar,2022-09-13,Marketplace Seller
S0103,Al-Noor Traders,Sargodha,2024-11-07,Marketplace Seller
S0104,Johar Traders,Hyderabad,2021-11-29,Marketplace Seller
S0105,Liberty Collection,Faisalabad,2022-04-13,Marketplace Seller
S0106,Chenab Emporium,Karachi,2023-12-30,Official Store
S0107,Mehran Emporium,Faisalabad,2021-12-15,Marketplace Seller
S0108,Ravi Traders,Faisalabad,2022-11-19,Marketplace Seller
S0109,Mehran Emporium,Multan,2022-12-16,Marketplace Seller
S0110,Crescent Traders,Lahore,2023-09-10,Marketplace Seller
S0111,Madina Enterprises,Karachi,2023-01-02,Marketplace Seller
S0112,Al-Noor Collection,Rawalpindi,2024-01-21,Marketplace Seller
S0113,Clifton Traders,Islamabad,2024-01-19,Marketplace Seller
S0114,Liberty Emporium,Karachi,2023-03-18,Marketplace Seller
S0115,Saddar Outlet,Lahore,2023-09-27,Marketplace Seller
S0116,Kohinoor Emporium,Karachi,2024-09-07,Marketplace Seller
S0117,Anarkali Emporium,Rawalpindi,2024-04-03,Marketplace Seller
S0118,Indus Collection,Lahore,2022-11-08,Marketplace Seller
S0119,Crescent Traders,Karachi,2022-01-17,Marketplace Seller
S0120,Johar Mart,Islamabad,2023-11-19,Marketplace Seller
S0121,Indus Mart,Karachi,2022-06-20,Marketplace Seller
S0122,Sitara Traders,Lahore,2023-06-23,Marketplace Seller
S0123,Madina Emporium,Lahore,2023-07-06,Marketplace Seller
S0124,Gulberg Emporium,Lahore,2024-06-21,Marketplace Seller
S0125,Indus Store,Islamabad,2023-03-14,Marketplace Seller
S0126,Mehran Enterprises,Hyderabad,2024-12-11,Marketplace Seller
S0127,Barkat Store,Faisalabad,2023-10-29,Marketplace Seller
S0128,Saddar Store,Karachi,2023-12-18,Marketplace Seller
S0129,Mehran Traders,Karachi,2023-01-25,Official Store
S0130,Barkat Mart,Faisalabad,2021-10-18,Marketplace Seller
S0131,Barkat Enterprises,Lahore,2022-06-18,Marketplace Seller
S0132,Hayat Traders,Lahore,2024-01-29,Marketplace Seller
S0133,Anarkali Enterprises,Lahore,2023-01-16,Marketplace Seller
S0134,Rehmat Mart,Islamabad,2023-03-12,Marketplace Seller
S0135,Rehmat Store,Karachi,2022-06-22,Marketplace Seller
S0136,Sitara Outlet,Lahore,2024-08-27,Marketplace Seller
S0137,Hayat Traders,Lahore,2022-06-18,Official Store
