session_id,customer_id,session_start,device_type,traffic_source,experiment_group,session_duration_sec,completed_order,order_value
CS0000052,C005175,2026-03-02 00:31:44,iOS,Paid Social,treatment,123,1,2674
CS0000053,C006640,2026-03-02 00:31:48,Desktop,Organic Search,control,154,1,3939
CS0000054,C025548,2026-03-02 00:32:20,iOS,App,control,863,0,
CS0000055,C028950,2026-03-02 00:33:53,iOS,Organic Search,treatment,125,1,1924
CS0000056,C023335,2026-03-02 00:34:08,Desktop,Direct,treatment,406,1,3755
CS0000057,C015221,2026-03-02 00:34:39,Desktop,Organic Search,treatment,286,1,6003
CS0000058,,2026-03-02 00:35:46,Android,Organic Search,control,126,1,8575
CS0000059,C006266,2026-03-02 00:37:50,Android,App,treatment,65,0,
CS0000060,C024574,2026-03-02 00:37:50,Desktop,Paid Social,control,297,1,803
CS0000061,C018162,2026-03-02 00:38:53,Desktop,App,treatment,71,1,6732
CS0000062,C002601,2026-03-02 00:39:50,Android,Organic Search,treatment,555,1,12037
CS0000063,C024749,2026-03-02 00:43:07,Android,Referral,treatment,223,1,4435
CS0000064,C020676,2026-03-02 00:43:29,Android,App,treatment,57,1,8369
CS0000065,C021322,2026-03-02 00:45:21,Desktop,Referral,treatment,302,0,
CS0000066,C016026,2026-03-02 00:45:27,Android,Organic Search,treatment,167,1,3334
CS0000067,C027568,2026-03-02 00:45:39,Android,Organic Search,treatment,148,1,2804
CS0000068,,2026-03-02 00:46:00,iOS,App,control,184,0,
CS0000069,C022615,2026-03-02 00:46:02,Android,Organic Search,treatment,216,0,
CS0000070,C020842,2026-03-02 00:46:11,Android,Direct,treatment,172,0,
CS0000071,C028916,2026-03-02 00:46:35,iOS,App,control,283,1,3622
CS0000072,,2026-03-02 00:47:30,Android,Organic Search,control,275,0,
CS0000073,C012532,2026-03-02 00:47:32,Android,App,treatment,178,1,2572
CS0000074,C015560,2026-03-02 00:49:08,Android,App,control,172,0,
CS0000075,C004046,2026-03-02 00:49:21,Desktop,Organic Search,control,82,1,6806
CS0000076,C021070,2026-03-02 00:49:32,Desktop,App,treatment,82,1,2838
CS0000077,,2026-03-02 00:49:51,iOS,Organic Search,control,193,1,2972
CS0000078,C029267,2026-03-02 00:50:04,Desktop,Organic Search,control,217,1,5436
CS0000079,,2026-03-02 00:50:09,Android,Paid Social,treatment,78,0,
CS0000080,C023355,2026-03-02 00:50:15,Android,Referral,control,70,1,1554
CS0000081,,2026-03-02 00:50:36,iOS,Paid Social,control,278,0,
CS0000082,C015426,2026-03-02 00:51:54,Android,Organic Search,control,61,0,
CS0000083,C000066,2026-03-02 00:53:07,Desktop,App,control,140,1,3077
CS0000084,,2026-03-02 00:53:20,iOS,App,treatment,208,1,27580
CS0000085,C016023,2026-03-02 00:54:24,Android,Referral,treatment,243,1,3731
CS0000086,C014343,2026-03-02 00:54:57,Desktop,App,treatment,490,1,4426
CS0000087,C005149,2026-03-02 00:55:25,Android,Paid Social,control,204,1,7299
CS0000088,C010340,2026-03-02 00:55:34,Android,Paid Social,control,95,0,
CS0000089,C025275,2026-03-02 00:55:37,iOS,App,control,133,1,3776
CS0000090,C011126,2026-03-02 00:56:21,Android,App,control,240,1,1688
CS0000091,C009333,2026-03-02 00:56:49,Android,Organic Search,control,190,0,
CS0000092,,2026-03-02 00:58:09,Desktop,Direct,treatment,1,0,
CS0000093,C001951,2026-03-02 00:58:59,iOS,Direct,treatment,225,0,
CS0000094,C016022,2026-03-02 00:59:03,iOS,Paid Social,control,93,1,1916
CS0000095,C023571,2026-03-02 00:59:24,Android,App,control,121,0,
CS0000096,C010358,2026-03-02 00:59:39,Android,Paid Social,control,382,1,2904
CS0000097,C003860,2026-03-02 01:00:04,iOS,Paid Social,treatment,279,0,
CS0000098,C008962,2026-03-02 01:01:22,Android,Organic Search,TREATMENT ,289,1,4022
CS0000099,C007434,2026-03-02 01:01:27,iOS,Direct,treatment,191,0,
CS0000100,C021881,2026-03-02 01:01:30,Android,Organic Search,control,238,1,11190
CS0000101,C002103,2026-03-02 01:02:03,Android,App,treatment,65,1,2336
CS0000102,C000325,2026-03-02 01:03:30,Android,Paid Social,Control,208,1,3172
CS0000103,C012763,2026-03-02 01:04:38,Desktop,Paid Social,control,126,1,5830
CS0000104,C001604,2026-03-02 01:05:06,iOS,App,treatment,237,1,7389
CS0000105,C021532,2026-03-02 01:05:24,Desktop,Paid Social,control,171,0,
CS0000106,C014113,2026-03-02 01:05:24,Desktop,Organic Search,treatment,202,1,6781
CS0000107,C027873,2026-03-02 01:06:19,Desktop,Organic Search,treatment,216,0,
CS0000108,C007288,2026-03-02 01:06:49,Desktop,App,control,161,1,1247
CS0000109,C003530,2026-03-02 01:07:24,iOS,Organic Search,treatment,71,1,2496
CS0000110,C027626,2026-03-02 01:07:28,Android,Organic Search,control,212,0,
CS0000111,C013673,2026-03-02 01:07:55,Desktop,Direct,control,126,1,10140
CS0000112,C007735,2026-03-02 01:08:27,Android,Paid Social,control,175,1,7804
CS0000113,C020946,2026-03-02 01:10:54,Desktop,Referral,treatment,79,1,7438
CS0000114,C018047,2026-03-02 01:11:18,Android,Referral,treatment,302,1,1398
CS0000115,C008182,2026-03-02 01:11:25,iOS,Organic Search,treatment,264,1,1388
CS0000116,C007131,2026-03-02 01:12:13,Desktop,Paid Social,treatment,203,0,
CS0000117,C007242,2026-03-02 01:12:36,Desktop,App,treatment,747,1,12821
CS0000118,C026050,2026-03-02 01:13:02,Android,App,control,237,1,4033
CS0000119,,2026-03-02 01:13:05,iOS,App,treatment,89,1,2217
CS0000120,C014502,2026-03-02 01:13:12,Desktop,Organic Search,treatment,127,0,
CS0000121,C006344,2026-03-02 01:13:20,Android,App,control,175,0,
CS0000122,C023917,2026-03-02 01:14:02,Desktop,Referral,control,550,1,2349
CS0000123,C012993,2026-03-02 01:14:02,iOS,App,control,147,0,
CS0000124,C009678,2026-03-02 01:14:17,Android,Referral,treatment,124,1,4183
CS0000125,C014203,2026-03-02 01:14:24,Android,App,control,162,0,
CS0000126,C022954,2026-03-02 01:14:45,Desktop,Paid Social,treatment,367,1,3339
CS0000127,C027674,2026-03-02 01:15:38,Android,Direct,treatment,195,1,2287
CS0000128,,2026-03-02 01:16:27,Android,App,treatment,158,0,
CS0000129,C022365,2026-03-02 01:16:30,Desktop,Direct,control,517,1,22235
CS0000130,C004410,2026-03-02 01:16:53,Android,Direct,treatment,633,0,
CS0000131,C019828,2026-03-02 01:18:31,Android,Direct,treatment,202,1,3312
CS0000132,C010812,2026-03-02 01:18:58,Android,Direct,control,94,0,
CS0000133,C000376,2026-03-02 01:20:18,Android,App,treatment,143,1,6330
CS0000134,,2026-03-02 01:20:42,Android,Organic Search,treatment,181,1,2639
CS0000135,,2026-03-02 01:20:47,Android,App,treatment,120,1,3694
CS0000135,,2026-03-02 01:20:47,Android,App,treatment,120,1,3694
CS0000136,,2026-03-02 01:21:24,Android,App,treatment,118,0,
CS0000137,C028733,2026-03-02 01:21:27,Android,Referral,treatment,105,0,
CS0000138,C006600,2026-03-02 01:21:53,Desktop,Direct,control,274,1,3243
CS0000139,C012048,2026-03-02 01:23:20,iOS,App,control,225,0,
CS0000140,C011016,2026-03-02 01:23:40,iOS,App,control,845,0,
CS0000141,C003643,2026-03-02 01:24:40,Desktop,Direct,treatment,141,1,15112
CS0000142,,2026-03-02 01:24:42,iOS,App,control,178,0,
CS0000143,C028184,2026-03-02 01:24:48,Android,App,control,124,0,
CS0000144,C028050,2026-03-02 01:25:30,Android,App,treatment,365,1,1669
CS0000145,C006588,2026-03-02 01:26:29,Android,Referral,control,245,1,2666
CS0000146,,2026-03-02 01:27:24,Desktop,Direct,treatment,0,0,
CS0000147,C009660,2026-03-02 01:28:00,Android,Organic Search,control,372,0,
CS0000148,C006087,2026-03-02 01:28:20,Desktop,Paid Social,control,122,1,4356
CS0000149,C003327,2026-03-02 01:30:09,Desktop,Organic Search,treatment,177,1,10198
CS0000150,C019557,2026-03-02 01:31:34,Android,Paid Social,treatment,136,0,
CS0000151,C028204,2026-03-02 01:32:54,Desktop,Organic Search,control,59,1,16480
CS0000152,C015388,2026-03-02 01:33:02,Android,Paid Social,treatment,92,1,1511
CS0000153,C028594,2026-03-02 01:33:09,Android,Paid Social,control,59,1,6840
CS0000154,,2026-03-02 01:34:10,Android,Paid Social,control,225,1,2760
CS0000155,C017356,2026-03-02 01:34:15,Android,App,control,194,1,6802
CS0000156,C024545,2026-03-02 01:34:19,Desktop,Direct,treatment,113,1,3709
CS0000157,C004923,2026-03-02 01:34:35,Desktop,App,control,127,0,
CS0000158,,2026-03-02 01:34:43,Android,App,control,85,1,3734
CS0000159,C001144,2026-03-02 01:34:57,Desktop,Organic Search,control,190,1,6425
CS0000160,,2026-03-02 01:35:32,Android,Organic Search,control,125,1,3725
CS0000161,C003893,2026-03-02 01:36:05,Desktop,Paid Social,treatment,276,1,6112
CS0000162,,2026-03-02 01:36:24,Android,Paid Social,treatment,192,1,4446
CS0000163,,2026-03-02 01:36:29,Android,Organic Search,treatment,184,0,
CS0000164,C026702,2026-03-02 01:36:32,Android,App,Control,234,0,
CS0000165,C013148,2026-03-02 01:36:49,Desktop,Paid Social,treatment,216,0,
CS0000166,C002240,2026-03-02 01:37:35,Android,Direct,treatment,462,0,
CS0000167,C010115,2026-03-02 01:38:17,Android,App,treatment,230,1,6579
CS0000168,C026331,2026-03-02 01:38:19,Android,Organic Search,treatment,258,1,3602
CS0000169,,2026-03-02 01:38:24,Desktop,Referral,treatment,174,1,3078
CS0000170,C018840,2026-03-02 01:40:31,Android,Organic Search,treatment,174,0,
CS0000171,C023429,2026-03-02 01:40:41,Android,App,treatment,137,1,966
CS0000172,,2026-03-02 01:41:04,Android,Paid Social,treatment,160,0,
CS0000173,C006849,2026-03-02 01:41:35,Desktop,Paid Social,treatment,193,1,1522
CS0000174,C023840,2026-03-02 01:41:38,Android,App,treatment,216,1,980
CS0000175,,2026-03-02 01:42:38,Desktop,Paid Social,control,205,0,
CS0000176,C000257,2026-03-02 01:42:39,Desktop,App,control,341,0,
CS0000177,C022749,2026-03-02 01:43:21,Android,Organic Search,control,205,0,
CS0000178,C014001,2026-03-02 01:44:44,Desktop,App,treatment,68,1,3901
CS0000179,C018333,2026-03-02 01:45:54,Android,Organic Search,treatment,144,1,5748
CS0000180,C018307,2026-03-02 01:46:16,Android,Direct,control,99,0,
CS0000181,C020963,2026-03-02 01:47:31,Android,Direct,control,76,1,2597
CS0000182,,2026-03-02 01:48:05,Android,Organic Search,control,24,1,2533
CS0000183,C019062,2026-03-02 01:49:20,Android,Direct,treatment,179,1,2563
CS0000184,C007658,2026-03-02 01:53:15,Android,Organic Search,control,83,0,
CS0000185,C024849,2026-03-02 01:53:31,iOS,Direct,treatment,473,1,5565
CS0000186,C006888,2026-03-02 01:53:53,Android,App,treatment,153,0,
CS0000187,C026795,2026-03-02 01:54:54,Android,Paid Social,control,123,1,3418
CS0000188,C011363,2026-03-02 01:55:11,Desktop,App,control,71,1,10985
CS0000189,C014635,2026-03-02 01:55:36,Android,Organic Search,treatment,98,0,
CS0000190,C000610,2026-03-02 01:55:41,Android,Direct,control,79,1,1555
CS0000191,C003252,2026-03-02 01:56:00,Desktop,App,control,71,1,5853
CS0000192,C028466,2026-03-02 01:56:13,Android,App,treatment,46,1,4264
CS0000193,C004880,2026-03-02 01:56:19,Android,Referral,control,190,0,
CS0000194,C002896,2026-03-02 01:56:59,Android,App,treatment,180,0,
CS0000195,C026965,2026-03-02 01:57:16,iOS,Organic Search,treatment,76,0,
CS0000196,C022186,2026-03-02 01:57:40,Android,App,control,141,0,
CS0000197,C022696,2026-03-02 01:58:37,Android,Referral,control,114,1,3470
CS0000198,C007344,2026-03-02 01:58:46,iOS,App,control,122,1,2850
CS0000199,C013997,2026-03-02 01:59:17,Android,App,treatment,153,1,5362
CS0000200,,2026-03-02 02:01:11,Desktop,App,Treatment,170,1,2395
CS0000201,C018179,2026-03-02 02:02:26,Desktop,Paid Social,control,297,1,1779
CS0000202,C019302,2026-03-02 02:02:26,Android,Direct,treatment,267,1,13463
CS0000203,,2026-03-02 02:04:21,Android,Organic Search,treatment,56,1,1985
CS0000204,C019973,2026-03-02 02:04:26,Android,Paid Social,treatment,256,1,10560
CS0000205,C003548,2026-03-02 02:05:46,Android,Referral,control,68,0,
CS0000206,C010629,2026-03-02 02:07:44,iOS,Organic Search,control,265,1,2577
CS0000207,,2026-03-02 02:07:57,Android,Referral,treatment,286,1,6285
CS0000208,C011136,2026-03-02 02:08:19,Desktop,Organic Search,treatment,196,1,8817
CS0000209,,2026-03-02 02:08:22,Android,Organic Search,treatment,85,0,
CS0000210,C006166,2026-03-02 02:08:36,Android,Organic Search,treatment,358,1,4371
CS0000211,,2026-03-02 02:09:31,Android,Referral,control,223,1,6870
CS0000212,C018670,2026-03-02 02:10:04,Android,App,treatment,152,1,2056
CS0000213,,2026-03-02 02:10:30,Android,Organic Search,treatment,80,0,
CS0000214,,2026-03-02 02:11:03,iOS,Direct,treatment,329,1,4000
CS0000215,,2026-03-02 02:12:06,iOS,Direct,control,105,1,1164
CS0000216,C021371,2026-03-02 02:12:13,Desktop,Direct,treatment,371,0,
CS0000217,,2026-03-02 02:12:36,iOS,Direct,control,567,0,
CS0000218,C016402,2026-03-02 02:12:39,Desktop,Organic Search,treatment,94,1,3977
CS0000219,C013989,2026-03-02 02:12:53,Desktop,Organic Search,control,158,0,
CS0000220,C012504,2026-03-02 02:13:12,Android,Paid Social,treatment,118,0,
CS0000221,C017582,2026-03-02 02:14:25,Android,Organic Search,control,254,1,5656
CS0000222,C026165,2026-03-02 02:14:32,Desktop,App,treatment,103,1,5368
CS0000223,C019707,2026-03-02 02:14:59,Android,App,treatment,200,1,10611
CS0000224,,2026-03-02 02:15:09,iOS,Organic Search,treatment,115,0,
CS0000225,C028759,2026-03-02 02:15:17,Android,Paid Social,control,116,1,4404
CS0000226,,2026-03-02 02:15:52,Android,Organic Search,control,357,0,
CS0000227,C024170,2026-03-02 02:16:48,Android,App,control,286,0,
CS0000228,C004601,2026-03-02 02:16:54,Android,Direct,control,237,0,
CS0000229,C026657,2026-03-02 02:17:11,Android,Referral,control,446,1,1106
CS0000230,,2026-03-02 02:19:45,Android,Organic Search,treatment,189,1,1481
CS0000231,,2026-03-02 02:20:05,Android,App,treatment,164,1,6262
CS0000232,C014249,2026-03-02 02:20:42,Android,App,control,132,0,
CS0000233,C016328,2026-03-02 02:22:39,iOS,App,control,179,0,
CS0000234,C027701,2026-03-02 02:24:26,Android,Organic Search,control,199,0,
CS0000235,C006383,2026-03-02 02:24:48,Desktop,Direct,treatment,269,1,4008
CS0000236,C025477,2026-03-02 02:24:56,Desktop,Paid Social,treatment,219,1,5130
CS0000237,,2026-03-02 02:25:22,Android,App,treatment,141,1,7326
CS0000238,C010487,2026-03-02 02:25:24,iOS,App,control,193,1,2592
CS0000239,C003100,2026-03-02 02:25:29,Desktop,App,treatment,132,1,3703
CS0000240,C022345,2026-03-02 02:25:46,Desktop,Referral,treatment,150,1,4353
CS0000241,C022224,2026-03-02 02:26:07,Android,App,control,71,0,
CS0000242,C017609,2026-03-02 02:26:54,Android,Organic Search,treatment,75,1,4165
CS0000243,C017177,2026-03-02 02:27:17,Android,Referral,treatment,314,1,4943
CS0000244,,2026-03-02 02:28:01,Android,Organic Search,control,235,1,2771
CS0000245,C012716,2026-03-02 02:28:50,Android,Organic Search,control,126,1,7770
CS0000246,C002208,2026-03-02 02:30:43,iOS,Paid Social,treatment,52,1,13888
CS0000247,C028840,2026-03-02 02:31:36,Android,Organic Search,control,824,1,6405
CS0000248,C018268,2026-03-02 02:31:56,Android,Referral,treatment,214,1,4229
CS0000249,C018322,2026-03-02 02:31:57,Android,App,control,463,1,2368
CS0000250,,2026-03-02 02:32:26,Android,Organic Search,control,238,0,
CS0000251,C000682,2026-03-02 02:34:16,Android,Organic Search,treatment,84,1,11397
CS0000252,C029158,2026-03-02 02:34:19,Desktop,Organic Search,treatment,198,0,
CS0000253,C025134,2026-03-02 02:34:26,Android,Referral,treatment,176,1,5969
CS0000254,,2026-03-02 02:35:24,Desktop,Direct,treatment,1,0,
CS0000255,C024037,2026-03-02 02:38:16,Android,Referral,treatment,230,0,
CS0000256,C006273,2026-03-02 02:38:28,Android,Direct,treatment,118,1,1822
CS0000257,C012101,2026-03-02 02:39:56,Android,Organic Search,treatment,234,1,2192
CS0000258,,2026-03-02 02:40:23,Android,Referral,treatment,157,0,
CS0000259,,2026-03-02 02:40:54,Android,App,treatment,250,1,4834
CS0000260,C000623,2026-03-02 02:41:19,iOS,Paid Social,treatment,54,0,
CS0000261,C004405,2026-03-02 02:41:23,Android,App,treatment,48,1,2885
CS0000262,C021448,2026-03-02 02:41:40,Android,App,treatment,273,0,
CS0000263,C005209,2026-03-02 02:44:14,Android,Paid Social,treatment,344,0,
CS0000264,C020864,2026-03-02 02:45:42,Android,Organic Search,control,94,1,2590
CS0000265,C024827,2026-03-02 02:46:40,Android,App,treatment,193,0,
CS0000266,C013388,2026-03-02 02:46:50,Android,App,treatment,259,0,
CS0000267,,2026-03-02 02:48:06,iOS,Paid Social,control,40,1,1581
CS0000268,C020419,2026-03-02 02:49:14,Android,App,control,210,1,4968
CS0000269,C019493,2026-03-02 02:49:37,Android,App,control,697,1,816
CS0000270,C027724,2026-03-02 02:49:55,Android,Organic Search,treatment,329,1,4562
CS0000271,C005421,2026-03-02 02:50:27,Desktop,App,control,117,0,
CS0000272,,2026-03-02 02:51:23,Desktop,Organic Search,treatment,157,1,3288
CS0000273,C029102,2026-03-02 02:51:36,Android,App,Treatment,126,0,
CS0000274,C016562,2026-03-02 02:51:36,Android,Referral,treatment,185,1,3927
CS0000275,C022109,2026-03-02 02:51:47,Android,Paid Social,treatment,231,0,
CS0000276,C014890,2026-03-02 02:52:26,Android,Paid Social,control,90,0,
CS0000277,,2026-03-02 02:52:40,iOS,App,control,182,1,3361
CS0000278,C028511,2026-03-02 02:53:52,iOS,Organic Search,treatment,111,1,2354
CS0000279,C025811,2026-03-02 02:54:30,Desktop,Paid Social,control,252,0,
CS0000280,C018914,2026-03-02 02:55:50,Android,Organic Search,treatment,81,1,11231
CS0000281,,2026-03-02 02:56:37,Desktop,Organic Search,treatment,150,1,3524
CS0000282,C029013,2026-03-02 02:56:38,iOS,Organic Search,control,455,0,
CS0000283,C017172,2026-03-02 02:56:38,Android,Paid Social,treatment,195,1,1987
CS0000284,C016761,2026-03-02 02:57:45,Android,Paid Social,control,418,0,
CS0000285,C002322,2026-03-02 02:58:08,Desktop,App,control,197,1,2086
CS0000286,,2026-03-02 03:01:06,Desktop,Paid Social,control,414,0,
CS0000287,C009300,2026-03-02 03:01:09,Android,App,treatment,115,1,4980
CS0000288,C014866,2026-03-02 03:01:20,Desktop,Paid Social,treatment,255,1,3247
CS0000289,,2026-03-02 03:01:31,Android,Organic Search,treatment,199,1,22462
CS0000290,,2026-03-02 03:02:21,Android,App,control,133,0,
CS0000291,C024265,2026-03-02 03:03:09,iOS,Paid Social,Treatment,108,1,9530
CS0000292,C008712,2026-03-02 03:04:02,Android,Paid Social,treatment,172,0,
CS0000293,C023916,2026-03-02 03:04:42,Android,Referral,control,122,1,1508
CS0000294,C000519,2026-03-02 03:05:08,iOS,Paid Social,treatment,128,1,9949
CS0000295,C002580,2026-03-02 03:05:44,Desktop,Organic Search,treatment,170,0,
CS0000296,C009707,2026-03-02 03:06:52,Desktop,Referral,control,169,1,4560
CS0000297,C021479,2026-03-02 03:09:37,Android,Organic Search,control,176,0,
CS0000298,C007826,2026-03-02 03:11:03,iOS,App,treatment,80,0,
CS0000299,C011508,2026-03-02 03:11:28,Android,App,control,191,0,
CS0000300,,2026-03-02 03:13:34,Android,Paid Social,control,65,0,
CS0000301,C022217,2026-03-02 03:14:12,Android,Paid Social,treatment,432,1,5475
CS0000302,C014785,2026-03-02 03:16:13,Android,Paid Social,control,206,1,2696
CS0000303,C000714,2026-03-02 03:18:30,Android,Organic Search,treatment,84,1,2062
CS0000304,C000961,2026-03-02 03:21:01,iOS,App,treatment,61,1,3796
CS0000305,C023395,2026-03-02 03:21:29,Desktop,App,control,147,1,1880
CS0000306,,2026-03-02 03:24:15,Android,Direct,treatment,71,0,
CS0000307,C001520,2026-03-02 03:25:54,iOS,Organic Search,treatment,48,1,3479
CS0000308,C020655,2026-03-02 03:26:36,Android,Paid Social,treatment,99,1,2412
CS0000309,C008254,2026-03-02 03:26:56,iOS,Direct,treatment,312,1,1963
CS0000310,,2026-03-02 03:27:14,iOS,Referral,control,328,0,
CS0000311,C011690,2026-03-02 03:27:19,iOS,Direct,control,235,0,
CS0000312,C021867,2026-03-02 03:28:59,Android,Organic Search,treatment,768,1,2623
CS0000313,C013225,2026-03-02 03:29:15,Android,Direct,control,158,0,
CS0000314,C007257,2026-03-02 03:31:38,Desktop,Direct,control,300,1,9096
CS0000315,C006642,2026-03-02 03:31:59,Android,Direct,treatment,192,1,2013
CS0000316,C027294,2026-03-02 03:32:16,Desktop,Direct,treatment,95,1,8529
CS0000317,C018994,2026-03-02 03:33:53,iOS,App,control,126,0,
CS0000318,C018031,2026-03-02 03:33:59,Android,Organic Search,treatment,111,1,8658
CS0000319,C008919,2026-03-02 03:35:09,Android,Referral,control,58,1,5011
CS0000320,C012114,2026-03-02 03:36:16,Android,Referral,Treatment,521,1,2191
CS0000321,C016659,2026-03-02 03:37:02,Android,App,control,127,0,
CS0000322,C027027,2026-03-02 03:37:37,Android,Organic Search,control,254,0,
CS0000323,C013994,2026-03-02 03:37:47,Android,Referral,control,68,0,
CS0000324,C022838,2026-03-02 03:38:40,Android,App,treatment,318,0,
CS0000325,C018343,2026-03-02 03:39:17,Desktop,App,control,86,0,
CS0000326,C004983,2026-03-02 03:40:40,Android,App,treatment,155,1,6911
CS0000327,C027929,2026-03-02 03:41:24,Desktop,Referral,control,277,1,8856
CS0000328,,2026-03-02 03:42:00,Desktop,Paid Social,treatment,207,0,
CS0000329,C029158,2026-03-02 03:42:46,iOS,App,control,136,0,
CS0000330,,2026-03-02 03:45:04,Android,Paid Social,control,57,0,
CS0000331,C013420,2026-03-02 03:47:30,Android,Paid Social,control,253,0,
CS0000332,C009814,2026-03-02 03:47:50,Android,Organic Search,Control,206,0,
CS0000333,,2026-03-02 03:48:15,iOS,Paid Social,treatment,171,0,
CS0000334,C001001,2026-03-02 03:48:36,Android,App,treatment,498,0,
CS0000335,C014108,2026-03-02 03:48:47,Desktop,Referral,treatment,108,0,
CS0000336,,2026-03-02 03:50:07,Android,App,control,135,1,1867
CS0000337,C013160,2026-03-02 03:50:26,Android,App,treatment,125,0,
CS0000338,C011816,2026-03-02 03:51:17,Desktop,Referral,control,66,1,1789
CS0000339,,2026-03-02 03:51:47,Android,App,control,757,1,1141
CS0000340,C008293,2026-03-02 03:52:25,Android,Organic Search,control,1383,1,7393
CS0000341,C001295,2026-03-02 03:54:10,Android,Paid Social,control,325,0,
CS0000342,C012724,2026-03-02 03:54:25,Android,Paid Social,treatment,151,0,
CS0000343,,2026-03-02 03:54:55,Android,Direct,control,270,0,
CS0000344,C021974,2026-03-02 03:55:39,Desktop,Direct,control,200,0,
CS0000345,C005268,2026-03-02 03:55:53,Android,Organic Search,treatment,56,0,
CS0000346,C007323,2026-03-02 03:56:54,Desktop,Direct,control,277,0,
CS0000347,C008556,2026-03-02 03:58:08,Android,App,treatment,60,0,
CS0000348,C003722,2026-03-02 03:59:06,Desktop,Referral,treatment,177,1,1639
CS0000349,C024651,2026-03-02 03:59:48,Android,Direct,treatment,71,0,
CS0000350,C024521,2026-03-02 04:03:21,Android,Organic Search,treatment,173,0,
