return_id,order_item_id,order_id,return_reason,return_requested_date,refund_amount
RT000122,OI0001849,ORD0001208,Not as described,2024-02-23,3899
RT000123,OI0001911,ORD0001245,Defective or damaged,2024-02-23,1799
RT000124,OI0001767,ORD0001153,Size or fit issue,2024-02-24,4499
RT000125,OI0001963,ORD0001277,Changed mind,2024-02-24,2199
RT000126,OI0001801,ORD0001179,Size or fit issue,2024-02-25,2199
RT000127,OI0001764,ORD0001151,Defective or damaged,2024-02-26,1299
RT000128,OI0001815,ORD0001188,Arrived too late,2024-02-26,8699
RT000129,OI0001876,ORD0001224,Size or fit issue,2024-02-26,2039
RT000130,OI0002073,ORD0001349,Arrived too late,2024-02-26,4599
RT000131,OI0002098,ORD0001367,Not as described,2024-02-26,1649
RT000132,OI0001948,ORD0001268,Not as described,2024-02-27,4099
RT000133,OI0002021,ORD0001317,Size or fit issue,2024-02-27,4899
RT000134,OI0002070,ORD0001347,Not as described,2024-02-27,1049
RT000135,OI0002111,ORD0001374,Size or fit issue,2024-02-27,4999
RT000136,OI0001681,ORD0001097,Defective or damaged,2024-02-28,4099
RT000137,OI0001922,ORD0001251,Changed mind,2024-02-28,1749
RT000138,OI0001949,ORD0001268,Size or fit issue,2024-02-28,899
RT000139,OI0001976,ORD0001287,Not as described,2024-02-28,3099
RT000140,OI0002169,ORD0001411,Defective or damaged,2024-02-28,382
RT000141,OI0002141,ORD0001394,Not as described,2024-02-29,3499
RT000142,OI0001992,ORD0001297,Arrived too late,2024-03-01,949
RT000143,OI0002133,ORD0001389,Changed mind,2024-03-01,11099
RT000144,OI0002179,ORD0001419,Defective or damaged,2024-03-01,1299
RT000145,OI0002294,ORD0001481,Changed mind,2024-03-01,3314
RT000146,OI0002100,ORD0001369,Changed mind,2024-03-02,1699
RT000147,OI0002212,ORD0001437,Size or fit issue,2024-03-02,2799
RT000148,OI0002138,ORD0001392,Changed mind,2024-03-04,1949
RT000149,OI0002221,ORD0001442,Not as described,2024-03-04,849
RT000150,OI0002259,ORD0001459,Defective or damaged,2024-03-04,2199
RT000151,OI0002304,ORD0001489,Not as described,2024-03-04,1949
RT000152,OI0002315,ORD0001495,Not as described,2024-03-04,1299
RT000153,OI0002365,ORD0001530,Changed mind,2024-03-04,2399
RT000154,OI0002135,ORD0001390,Size or fit issue,2024-03-05,3699
RT000155,OI0002249,ORD0001455,Changed mind,2024-03-05,552
RT000156,OI0002342,ORD0001513,Not as described,2024-03-05,2999
RT000157,OI0002406,ORD0001557,Changed mind,2024-03-05,5199
RT000158,OI0002303,ORD0001488,Arrived too late,2024-03-06,1699
RT000159,OI0002328,ORD0001504,Defective or damaged,2024-03-06,4499
RT000160,OI0002454,ORD0001590,Defective or damaged,2024-03-06,449
RT000161,OI0002364,ORD0001530,Size or fit issue,2024-03-07,3799
RT000162,OI0002468,ORD0001598,Arrived too late,2024-03-07,4249
RT000163,OI0002475,ORD0001602,Defective or damaged,2024-03-07,1299
RT000164,OI0002385,ORD0001542,Arrived too late,2024-03-08,3699
RT000165,OI0002470,ORD0001599,Size or fit issue,2024-03-08,5499
RT000166,OI0002450,ORD0001586,Arrived too late,2024-03-09,2399
RT000167,OI0002514,ORD0001625,Changed mind,2024-03-09,1249
RT000168,OI0002432,ORD0001572,Not as described,2024-03-10,892
RT000169,OI0002768,ORD0001776,Defective or damaged,2024-03-10,2199
RT000170,OI0002810,ORD0001801,Defective or damaged,2024-03-10,3299
RT000171,OI0002714,ORD0001739,Changed mind,2024-03-11,3999
RT000172,OI0002718,ORD0001742,Size or fit issue,2024-03-11,5999
RT000173,OI0002780,ORD0001783,Size or fit issue,2024-03-11,2199
RT000174,OI0002575,ORD0001658,Changed mind,2024-03-12,892
RT000175,OI0002785,ORD0001786,Changed mind,2024-03-12,1849
RT000176,OI0002820,ORD0001807,Not as described,2024-03-12,6799
RT000177,OI0002746,ORD0001762,Not as described,2024-03-14,849
RT000178,OI0002767,ORD0001776,Size or fit issue,2024-03-14,4899
RT000179,OI0002892,ORD0001851,Size or fit issue,2024-03-14,2099
RT000180,OI0002967,ORD0001893,Size or fit issue,2024-03-14,4899
RT000181,OI0002657,ORD0001707,Defective or damaged,2024-03-15,1399
RT000182,OI0002778,ORD0001782,Not as described,2024-03-15,6398
RT000183,OI0002836,ORD0001815,Arrived too late,2024-03-15,1869
RT000184,OI0002870,ORD0001837,Not as described,2024-03-15,8699
RT000185,OI0002791,ORD0001790,Not as described,2024-03-16,2299
RT000186,OI0002837,ORD0001816,Size or fit issue,2024-03-16,2599
RT000187,OI0002878,ORD0001843,Arrived too late,2024-03-16,5499
RT000188,OI0002913,ORD0001864,Size or fit issue,2024-03-16,4999
RT000189,OI0002974,ORD0001899,Defective or damaged,2024-03-16,2499
RT000190,OI0003046,ORD0001946,Size or fit issue,2024-03-16,4099
RT000191,OI0002805,ORD0001798,Changed mind,2024-03-17,9199
RT000192,OI0002839,ORD0001816,Arrived too late,2024-03-17,3899
RT000193,OI0002988,ORD0001908,Not as described,2024-03-17,1869
RT000194,OI0003002,ORD0001916,Size or fit issue,2024-03-17,6699
RT000195,OI0003079,ORD0001967,Arrived too late,2024-03-17,3499
RT000196,OI0002792,ORD0001791,Size or fit issue,2024-03-18,5399
RT000197,OI0002973,ORD0001898,Changed mind,2024-03-18,3569
RT000198,OI0003081,ORD0001969,Changed mind,2024-03-19,6499
RT000199,OI0002902,ORD0001859,Size or fit issue,2024-03-20,5499
RT000200,OI0002956,ORD0001887,Changed mind,2024-03-20,849
RT000201,OI0003015,ORD0001925,Size or fit issue,2024-03-20,4099
RT000202,OI0003048,ORD0001947,Defective or damaged,2024-03-20,2039
RT000203,OI0003073,ORD0001962,Changed mind,2024-03-20,4799
RT000204,OI0003219,ORD0002059,Arrived too late,2024-03-20,1299
RT000205,OI0002923,ORD0001869,Arrived too late,2024-03-21,2799
RT000206,OI0003040,ORD0001943,Not as described,2024-03-21,6799
RT000207,OI0003206,ORD0002050,Size or fit issue,2024-03-21,4099
RT000208,OI0003159,ORD0002018,Changed mind,2024-03-22,3899
RT000209,OI0003180,ORD0002032,Size or fit issue,2024-03-22,3399
RT000210,OI0003409,ORD0002176,Changed mind,2024-03-23,4099
RT000211,OI0003274,ORD0002094,Not as described,2024-03-24,1259
RT000212,OI0003367,ORD0002145,Not as described,2024-03-24,1298
RT000213,OI0003383,ORD0002156,Not as described,2024-03-24,2699
RT000214,OI0003447,ORD0002199,Size or fit issue,2024-03-24,3199
RT000215,OI0003469,ORD0002213,Size or fit issue,2024-03-24,3999
RT000216,OI0003348,ORD0002134,Size or fit issue,2024-03-25,2499
RT000217,OI0003358,ORD0002139,Not as described,2024-03-25,1799
RT000218,OI0003457,ORD0002205,Not as described,2024-03-25,949
RT000219,OI0003340,ORD0002129,Not as described,2024-03-26,4899
RT000220,OI0003345,ORD0002132,Arrived too late,2024-03-26,12154
RT000221,OI0003455,ORD0002204,Arrived too late,2024-03-26,3909
RT000222,OI0003615,ORD0002313,Size or fit issue,2024-03-27,4164
RT000223,OI0003638,ORD0002324,Size or fit issue,2024-03-27,1189
RT000224,OI0003593,ORD0002303,Defective or damaged,2024-03-28,6199
RT000225,OI0003637,ORD0002324,Changed mind,2024-03-28,3144
RT000226,OI0003504,ORD0002238,Size or fit issue,2024-03-29,4099
RT000227,OI0003663,ORD0002343,Size or fit issue,2024-03-29,4999
RT000228,OI0003703,ORD0002372,Size or fit issue,2024-03-29,5999
RT000229,OI0003710,ORD0002377,Changed mind,2024-03-30,999
RT000230,OI0003509,ORD0002242,Changed mind,2024-03-31,5399
RT000231,OI0003519,ORD0002250,Arrived too late,2024-03-31,4049
RT000232,OI0003682,ORD0002357,Size or fit issue,2024-03-31,2899
RT000233,OI0003773,ORD0002421,Changed mind,2024-03-31,1018
RT000234,OI0003642,ORD0002327,Defective or damaged,2024-04-01,4799
RT000235,OI0003666,ORD0002344,Defective or damaged,2024-04-01,30999
RT000236,OI0003678,ORD0002354,Arrived too late,2024-04-01,3329
RT000237,OI0003798,ORD0002437,Size or fit issue,2024-04-01,4049
RT000238,OI0003518,ORD0002250,Size or fit issue,2024-04-02,2249
RT000239,OI0003747,ORD0002404,Arrived too late,2024-04-02,4099
RT000240,OI0003693,ORD0002365,Size or fit issue,2024-04-04,4999
RT000241,OI0003935,ORD0002521,Defective or damaged,2024-04-05,1899
RT000242,OI0004153,ORD0002657,Defective or damaged,2024-04-05,8279
RT000243,OI0004165,ORD0002664,Changed mind,2024-04-05,4099
RT000244,OI0004202,ORD0002688,Not as described,2024-04-05,4099
RT000245,OI0003742,ORD0002401,Changed mind,2024-04-06,4099
RT000246,OI0003804,ORD0002443,Defective or damaged,2024-04-06,549
RT000247,OI0003818,ORD0002454,Arrived too late,2024-04-06,2804
RT000248,OI0003932,ORD0002519,Arrived too late,2024-04-06,3899
RT000249,OI0004094,ORD0002619,Size or fit issue,2024-04-06,4229
RT000250,OI0004102,ORD0002623,Not as described,2024-04-06,1149
RT000251,OI0003845,ORD0002472,Not as described,2024-04-07,2399
RT000252,OI0004279,ORD0002727,Not as described,2024-04-07,1749
RT000253,OI0004310,ORD0002747,Not as described,2024-04-07,4164
RT000254,OI0003983,ORD0002548,Size or fit issue,2024-04-08,4409
RT000255,OI0004084,ORD0002613,Not as described,2024-04-08,977
RT000256,OI0004170,ORD0002668,Not as described,2024-04-08,2599
RT000257,OI0004221,ORD0002699,Changed mind,2024-04-08,649
RT000258,OI0004269,ORD0002721,Size or fit issue,2024-04-08,4499
RT000259,OI0003895,ORD0002500,Defective or damaged,2024-04-09,977
RT000260,OI0003909,ORD0002508,Defective or damaged,2024-04-09,7829
RT000261,OI0004040,ORD0002581,Size or fit issue,2024-04-09,3699
RT000262,OI0004095,ORD0002619,Size or fit issue,2024-04-09,3689
RT000263,OI0004101,ORD0002622,Arrived too late,2024-04-09,2209
RT000264,OI0004256,ORD0002715,Changed mind,2024-04-09,854
RT000265,OI0004303,ORD0002744,Not as described,2024-04-09,5779
RT000266,OI0004315,ORD0002750,Defective or damaged,2024-04-09,37499
RT000267,OI0004423,ORD0002812,Size or fit issue,2024-04-09,2999
RT000268,OI0003854,ORD0002477,Changed mind,2024-04-10,4999
RT000269,OI0004119,ORD0002637,Not as described,2024-04-10,4099
RT000270,OI0004320,ORD0002755,Changed mind,2024-04-10,2069
RT000271,OI0004337,ORD0002764,Size or fit issue,2024-04-10,3229
RT000272,OI0004452,ORD0002831,Arrived too late,2024-04-10,4899
RT000273,OI0004481,ORD0002847,Changed mind,2024-04-10,4164
RT000274,OI0004506,ORD0002860,Arrived too late,2024-04-10,1249
RT000275,OI0003970,ORD0002543,Changed mind,2024-04-11,799
RT000276,OI0004149,ORD0002655,Arrived too late,2024-04-11,3484
RT000277,OI0004248,ORD0002712,Changed mind,2024-04-11,2974
RT000278,OI0004300,ORD0002742,Size or fit issue,2024-04-11,4999
RT000279,OI0004304,ORD0002744,Size or fit issue,2024-04-11,3229
RT000280,OI0004460,ORD0002836,Not as described,2024-04-11,6799
RT000281,OI0004486,ORD0002851,Size or fit issue,2024-04-11,5489
RT000282,OI0004533,ORD0002872,Size or fit issue,2024-04-11,5849
RT000283,OI0004548,ORD0002883,Size or fit issue,2024-04-11,1399
RT000284,OI0004549,ORD0002884,Defective or damaged,2024-04-11,3509
RT000285,OI0004319,ORD0002754,Changed mind,2024-04-12,1657
RT000286,OI0004199,ORD0002685,Size or fit issue,2024-04-13,2099
RT000287,OI0004350,ORD0002771,Arrived too late,2024-04-13,2199
RT000288,OI0004432,ORD0002818,Not as described,2024-04-13,2399
RT000289,OI0004457,ORD0002834,Not as described,2024-04-13,5199
RT000290,OI0004653,ORD0002943,Arrived too late,2024-04-13,3484
RT000291,OI0004387,ORD0002794,Arrived too late,2024-04-14,6399
RT000292,OI0004441,ORD0002824,Arrived too late,2024-04-14,3484
RT000293,OI0004448,ORD0002827,Changed mind,2024-04-14,4099
RT000294,OI0004522,ORD0002868,Arrived too late,2024-04-14,5599
RT000295,OI0004619,ORD0002921,Size or fit issue,2024-04-14,2609
RT000296,OI0004662,ORD0002951,Size or fit issue,2024-04-14,2399
RT000297,OI0004765,ORD0003015,Size or fit issue,2024-04-14,2199
RT000298,OI0004766,ORD0003015,Not as described,2024-04-14,1149
RT000299,OI0004829,ORD0003049,Arrived too late,2024-04-14,4099
RT000300,OI0004920,ORD0003106,Defective or damaged,2024-04-14,1299
RT000301,OI0004421,ORD0002811,Arrived too late,2024-04-15,1274
RT000302,OI0004531,ORD0002872,Size or fit issue,2024-04-15,2159
RT000303,OI0004534,ORD0002873,Not as described,2024-04-15,5779
RT000304,OI0004552,ORD0002884,Arrived too late,2024-04-15,2069
RT000305,OI0004602,ORD0002911,Size or fit issue,2024-04-15,4099
RT000306,OI0004771,ORD0003017,Arrived too late,2024-04-15,4679
RT000307,OI0004816,ORD0003042,Size or fit issue,2024-04-15,4409
RT000308,OI0004966,ORD0003134,Changed mind,2024-04-15,3999
RT000309,OI0004377,ORD0002788,Size or fit issue,2024-04-16,3484
RT000310,OI0004787,ORD0003025,Not as described,2024-04-16,2719
RT000311,OI0004796,ORD0003030,Changed mind,2024-04-16,1784
RT000312,OI0004823,ORD0003045,Defective or damaged,2024-04-16,382
RT000313,OI0004831,ORD0003051,Changed mind,2024-04-16,1149
RT000314,OI0004865,ORD0003073,Changed mind,2024-04-16,3689
RT000315,OI0004722,ORD0002990,Changed mind,2024-04-17,1249
RT000316,OI0004759,ORD0003011,Size or fit issue,2024-04-17,4164
RT000317,OI0004797,ORD0003031,Defective or damaged,2024-04-17,1189
RT000318,OI0004801,ORD0003033,Size or fit issue,2024-04-17,2464
RT000319,OI0004844,ORD0003059,Size or fit issue,2024-04-17,2299
RT000320,OI0004871,ORD0003078,Arrived too late,2024-04-17,1784
RT000321,OI0004925,ORD0003109,Size or fit issue,2024-04-17,949
RT000322,OI0004938,ORD0003118,Not as described,2024-04-17,934
RT000323,OI0004649,ORD0002941,Size or fit issue,2024-04-18,4899
RT000324,OI0004651,ORD0002942,Size or fit issue,2024-04-18,3499
RT000325,OI0004781,ORD0003022,Not as described,2024-04-18,1149
RT000326,OI0004947,ORD0003122,Arrived too late,2024-04-18,40799
RT000327,OI0005141,ORD0003237,Not as described,2024-04-18,1599
RT000328,OI0005155,ORD0003245,Size or fit issue,2024-04-18,2199
RT000329,OI0004711,ORD0002985,Size or fit issue,2024-04-19,4099
RT000330,OI0004779,ORD0003021,Changed mind,2024-04-19,4899
RT000331,OI0004842,ORD0003059,Size or fit issue,2024-04-19,3699
RT000332,OI0004850,ORD0003065,Defective or damaged,2024-04-19,1299
RT000333,OI0004873,ORD0003078,Size or fit issue,2024-04-19,2294
RT000334,OI0004897,ORD0003092,Arrived too late,2024-04-19,3149
RT000335,OI0005030,ORD0003173,Defective or damaged,2024-04-19,3654
RT000336,OI0005114,ORD0003221,Arrived too late,2024-04-19,1549
RT000337,OI0005237,ORD0003288,Arrived too late,2024-04-19,549
RT000338,OI0004660,ORD0002949,Defective or damaged,2024-04-20,3399
RT000339,OI8540756,ORD0003006,Size or fit issue,2024-04-20,1439
RT000340,OI0004748,ORD0003006,Not as described,2024-04-20,1349
RT000341,OI0004880,ORD0003083,Size or fit issue,2024-04-20,6099
RT000342,OI0004964,ORD0003132,Arrived too late,2024-04-20,799
RT000343,OI0005011,ORD0003161,Arrived too late,2024-04-20,6799
RT000344,OI0005053,ORD0003188,Arrived too late,2024-04-20,3299
RT000345,OI0005149,ORD0003242,Changed mind,2024-04-20,3799
RT000346,OI0005194,ORD0003266,Arrived too late,2024-04-20,3229
RT000347,OI0005323,ORD0003347,Not as described,2024-04-20,2209
RT000348,OI0004654,ORD0002944,Size or fit issue,2024-04-21,4899
RT000349,OI0004943,ORD0003121,Changed mind,2024-04-21,2399
RT000350,OI0005075,ORD0003199,Size or fit issue,2024-04-21,2599
RT000351,OI0005127,ORD0003229,Not as described,2024-04-21,1049
RT000352,OI0005152,ORD0003243,Arrived too late,2024-04-21,15214
RT000353,OI0005164,ORD0003249,Arrived too late,2024-04-21,3699
RT000354,OI0005241,ORD0003291,Changed mind,2024-04-21,3999
RT000355,OI0005270,ORD0003312,Size or fit issue,2024-04-21,3699
RT000356,OI0005402,ORD0003397,Not as described,2024-04-21,3999
RT000357,OI0005077,ORD0003200,Not as described,2024-04-22,2099
RT000358,OI0005159,ORD0003246,Defective or damaged,2024-04-22,9199
RT000359,OI0005165,ORD0003249,Arrived too late,2024-04-22,4099
RT000360,OI0005145,ORD0003239,Arrived too late,2024-04-23,3499
RT000361,OI0005364,ORD0003373,Changed mind,2024-04-23,71994
RT000362,OI0005379,ORD0003381,Changed mind,2024-04-23,9399
RT000363,OI0005388,ORD0003387,Changed mind,2024-04-23,4099
RT000364,OI0005401,ORD0003396,Defective or damaged,2024-04-23,1299
RT000365,OI0005529,ORD0003478,Size or fit issue,2024-04-23,2299
RT000366,OI0005014,ORD0003163,Not as described,2024-04-24,5779
RT000367,OI0005126,ORD0003228,Arrived too late,2024-04-24,3484
RT000368,OI0005128,ORD0003229,Arrived too late,2024-04-24,1249
RT000369,OI0005156,ORD0003245,Size or fit issue,2024-04-24,4099
RT000370,OI0005363,ORD0003372,Changed mind,2024-04-24,8699
RT000371,OI0005577,ORD0003506,Not as described,2024-04-24,2599
RT000372,OI0005674,ORD0003572,Defective or damaged,2024-04-24,1019
RT000373,OI0005028,ORD0003171,Arrived too late,2024-04-25,2999
RT000374,OI0005548,ORD0003490,Not as described,2024-04-25,949
RT000375,OI0005403,ORD0003398,Changed mind,2024-04-26,1549
RT000376,OI0005520,ORD0003473,Size or fit issue,2024-04-26,4099
RT000377,OI0005612,ORD0003529,Size or fit issue,2024-04-26,4899
RT000378,OI0005635,ORD0003546,Changed mind,2024-04-26,3314
RT000379,OI0005729,ORD0003608,Defective or damaged,2024-04-26,1049
RT000380,OI0005747,ORD0003620,Arrived too late,2024-04-26,3484
RT000381,OI0005538,ORD0003483,Not as described,2024-04-27,1999
RT000382,OI0005647,ORD0003554,Size or fit issue,2024-04-27,4164
RT000383,OI0005714,ORD0003596,Size or fit issue,2024-04-27,3299
RT000384,OI0005883,ORD0003703,Size or fit issue,2024-04-27,3699
RT000385,OI0005458,ORD0003435,Not as described,2024-04-28,3999
RT000386,OI0005525,ORD0003476,Changed mind,2024-04-28,1349
RT000387,OI0005540,ORD0003484,Changed mind,2024-04-28,4099
RT000388,OI0005595,ORD0003519,Size or fit issue,2024-04-28,4999
RT000389,OI0005745,ORD0003619,Not as described,2024-04-28,2599
RT000390,OI0005628,ORD0003540,Size or fit issue,2024-04-29,1359
RT000391,OI0005668,ORD0003569,Defective or damaged,2024-04-29,5099
RT000392,OI0005756,ORD0003627,Changed mind,2024-04-29,1149
RT000393,OI0005832,ORD0003678,Size or fit issue,2024-04-29,1784
RT000394,OI0005804,ORD0003656,Not as described,2024-04-30,6899
RT000395,OI0005934,ORD0003728,Arrived too late,2024-04-30,1149
RT000396,OI0005987,ORD0003760,Size or fit issue,2024-04-30,2399
RT000397,OI0006011,ORD0003774,Defective or damaged,2024-04-30,3099
RT000398,OI0006102,ORD0003834,Size or fit issue,2024-04-30,1399
RT000399,OI0005687,ORD0003580,Defective or damaged,2024-05-01,2399
RT000400,OI0005786,ORD0003644,Defective or damaged,2024-05-01,8799
RT000401,OI0006019,ORD0003779,Changed mind,2024-05-01,1249
