order_id,customer_id,order_datetime,shipping_city,payment_method,promo_code,courier,promised_delivery_date,delivered_at,order_status,shipping_fee
ORD0000018,C000018,01/01/2024 23:20,GRW,Cash on Delivery,WELCOME15,RapidRoute,05/01/2024,05/01/2024 13:25,DLVD,Rs. 0
ORD0000019,C000022,01/01/2024 23:49,Mardan,Cash on Delivery,WELCOME15,SwiftShip,07/01/2024,,RTO,Rs. 0
ORD0000020,C000034,02/01/2024 04:13,Gujranwala,Cash on Delivery,NONE,CityExpress,06/01/2024,06/01/2024 19:55,DLVD,Rs. 180
ORD0000021,C000035,02/01/2024 07:45,Karachi,Cash on Delivery,WELCOME15,PakRider,05/01/2024,,CNCL,Rs. 0
ORD0000022,C000041,02/01/2024 12:06,KHI,Cash on Delivery,NONE,SwiftShip,05/01/2024,04/01/2024 15:46,DLVD,Rs. 0
ORD0000023,C000036,02/01/2024 13:42,Karachi ,COD,FREESHIP,PakRider,05/01/2024,05/01/2024 10:53,DLVD,Rs. 0
ORD0000024,C000042,02/01/2024 13:52,Peshawar,COD,WELCOME15,SwiftShip,06/01/2024,05/01/2024 15:28,DLVD,Rs. 180
ORD0000025,C000047,02/01/2024 20:02,Hyderabad,COD,NONE,RapidRoute,06/01/2024,06/01/2024 13:36,DLVD,Rs. 0
ORD0000026,C000030,02/01/2024 20:06,Karachi,CC,NONE,RapidRoute,05/01/2024,05/01/2024 19:30,DLVD,Rs. 0
ORD0000027,C000046,02/01/2024 20:44,Islamabad,COD,WELCOME15,SwiftShip,05/01/2024,04/01/2024 11:40,DLVD,Rs. 0
ORD0000028,C000043,02/01/2024 22:01,Faisalabad,COD,NONE,CityExpress,06/01/2024,06/01/2024 19:20,DLVD,Rs. 0
ORD0000029,C000040,02/01/2024 22:37,Sialkot,COD,WELCOME15,RapidRoute,06/01/2024,06/01/2024 15:44,DLVD,Rs. 0
ORD0000030,C000061,03/01/2024 04:50,Karachi,COD,NONE,PakRider,06/01/2024,05/01/2024 14:35,DLVD,Rs. 0
ORD0000031,C000054,03/01/2024 05:01,Karachi,WALLET,NONE,SwiftShip,06/01/2024,04/01/2024 14:19,DLVD,Rs. 0
ORD0000032,C000048,03/01/2024 08:35,Lahore,COD,WELCOME15,RapidRoute,06/01/2024,08/01/2024 19:21,DLVD,Rs. 150
ORD0000033,C000065,03/01/2024 12:23,Lahore,CC,WELCOME15,SwiftShip,06/01/2024,05/01/2024 16:44,DLVD,Rs. 150
ORD0000034,C000056,03/01/2024 12:44,Bahawalpur,COD,WELCOME15,RapidRoute,09/01/2024,08/01/2024 14:09,DLVD,Rs. 220
ORD0000035,C000049,03/01/2024 14:09,Hyderabad,COD,WELCOME15,RapidRoute,07/01/2024,07/01/2024 16:36,DLVD,Rs. 180
ORD0000036,C000057,03/01/2024 16:22,Karachi,COD,WELCOME15,PakRider,06/01/2024,05/01/2024 18:16,DLVD,Rs. 0
ORD0000037,C000066,03/01/2024 18:29,Faisalabad ,COD,NONE,CityExpress,07/01/2024,06/01/2024 17:41,DLVD,Rs. 180
ORD0000038,C000052,03/01/2024 18:42,Lahore,COD,WELCOME15,SwiftShip,06/01/2024,,RTO,Rs. 150
ORD0000039,C000068,03/01/2024 22:05,Peshawar,COD,NONE,CityExpress,07/01/2024,06/01/2024 19:25,DLVD,Rs. 0
ORD0000040,C000063,03/01/2024 22:10,Mardan,Cash on Delivery,NONE,SwiftShip,09/01/2024,,RTO,Rs. 0
ORD0000041,C000069,03/01/2024 22:51,Karachi,CC,NONE,CityExpress,06/01/2024,05/01/2024 10:28,DLVD,Rs. 0
ORD0000042,C000076,04/01/2024 08:21,Lahore,COD,NONE,CityExpress,07/01/2024,06/01/2024 10:12,DLVD,Rs. 0
ORD0000043,C000072,04/01/2024 10:45,Peshawar,COD,WELCOME15,SwiftShip,08/01/2024,08/01/2024 16:05,DLVD,Rs. 180
ORD0000044,C000078,04/01/2024 12:08,Rawalpindi,COD,NONE,RapidRoute,07/01/2024,07/01/2024 19:18,DLVD,Rs. 0
ORD0000045,C000085,04/01/2024 12:34,Karachi,CC,NONE,PakRider,07/01/2024,07/01/2024 10:43,DLVD,Rs. 0
ORD0000046,C000092,04/01/2024 12:37,Karachi,CC,NONE,PakRider,07/01/2024,07/01/2024 18:02,DLVD,Rs. 0
ORD0000047,C000073,04/01/2024 12:51,Rawalpindi,COD,NONE,RapidRoute,07/01/2024,08/01/2024 16:30,DLVD,Rs. 0
ORD0000048,C000088,04/01/2024 14:11,Hyderabad,COD,NONE,PakRider,08/01/2024,07/01/2024 12:57,DLVD,Rs. 0
ORD0000049,C000068,04/01/2024 15:58,Peshawar,COD,NONE,SwiftShip,08/01/2024,07/01/2024 16:33,DLVD,Rs. 0
ORD0000050,C000093,04/01/2024 17:28,Hyderabad,COD,NONE,SwiftShip,08/01/2024,08/01/2024 14:12,DLVD,Rs. 180
ORD0000051,C000071,04/01/2024 17:44,Karachi,Cash on Delivery,NONE,PakRider,07/01/2024,07/01/2024 14:20,DLVD,Rs. 150
ORD0000052,C000070,04/01/2024 19:28,Lahore,COD,NONE,CityExpress,07/01/2024,06/01/2024 12:45,DLVD,Rs. 0
ORD0000053,C000074,04/01/2024 20:19,Multan,Cash on Delivery,NONE,PakRider,08/01/2024,08/01/2024 19:51,DLVD,Rs. 180
ORD0000054,C000094,04/01/2024 21:21,Karachi,CC,WELCOME15,SwiftShip,07/01/2024,06/01/2024 17:59,DLVD,Rs. 0
ORD0000055,C000082,04/01/2024 21:29,Quetta,Cash on Delivery,WELCOME15,PakRider,10/01/2024,08/01/2024 17:23,DLVD,Rs. 0
ORD0000056,C000080,04/01/2024 21:42,Faisalabad,Cash on Delivery,NONE,SwiftShip,08/01/2024,,RTO,Rs. 0
ORD0000057,C000090,04/01/2024 21:49,Karachi,COD,NONE,CityExpress,07/01/2024,06/01/2024 11:12,DLVD,Rs. 0
ORD0000058,C000077,04/01/2024 22:22,Lahore,COD,NONE,CityExpress,07/01/2024,10/01/2024 11:28,DLVD,Rs. 0
ORD0000059,C000079,04/01/2024 23:40,Karachi,COD,WELCOME15,SwiftShip,07/01/2024,,RTO,Rs. 0
ORD0000060,C000117,05/01/2024 01:25,Faisalabad,WALLET,WELCOME15,PakRider,09/01/2024,09/01/2024 17:08,DLVD,Rs. 180
ORD0000061,C000104,05/01/2024 08:56,Faisalabad,COD,NONE,PakRider,09/01/2024,10/01/2024 14:53,DLVD,Rs. 0
ORD0000062,C000115,05/01/2024 09:23,Karachi,COD,NONE,RapidRoute,08/01/2024,08/01/2024 10:17,DLVD,Rs. 150
ORD0000063,C000111,05/01/2024 09:51,Peshawar,Cash on Delivery,NONE,PakRider,09/01/2024,,CNCL,Rs. 0
ORD0000064,C000106,05/01/2024 10:15,Karachi,COD,WELCOME15,PakRider,08/01/2024,08/01/2024 16:17,DLVD,Rs. 0
ORD0000065,C000053,05/01/2024 11:31,Gujranwala,COD,NONE,RapidRoute,09/01/2024,09/01/2024 17:51,DLVD,Rs. 0
ORD0000066,C000100,05/01/2024 14:27,Multan,CC,WELCOME15,SwiftShip,09/01/2024,,CNCL,Rs. 0
ORD0000067,C000118,05/01/2024 15:20,Lahore,COD,NONE,SwiftShip,08/01/2024,07/01/2024 10:14,DLVD,Rs. 150
ORD0000068,C000110,05/01/2024 16:03,Lahore,COD,NONE,SwiftShip,08/01/2024,,RTO,Rs. 0
ORD0000069,C000107,05/01/2024 17:15,Karachi,COD,WELCOME15,CityExpress,08/01/2024,08/01/2024 10:12,DLVD,Rs. 0
ORD0000070,C000120,05/01/2024 20:40,Abbottabad,COD,NONE,SwiftShip,11/01/2024,09/01/2024 17:38,DLVD,Rs. 0
ORD0000071,C000098,05/01/2024 21:00,Karachi,COD,NONE,RapidRoute,08/01/2024,09/01/2024 11:19,DLVD,Rs. 0
ORD0000072,C000119,05/01/2024 21:01,Sialkot,COD,WELCOME15,SwiftShip,09/01/2024,07/01/2024 14:27,DLVD,Rs. 0
ORD0000073,C000096,05/01/2024 21:37,Peshawar,COD,NONE,CityExpress,09/01/2024,07/01/2024 12:00,DLVD,Rs. 0
ORD0000074,C000114,05/01/2024 22:17,Peshawar,COD,NONE,PakRider,09/01/2024,09/01/2024 15:15,DLVD,Rs. 180
ORD0000075,C000146,06/01/2024 00:35,Karachi,COD,WELCOME15,RapidRoute,09/01/2024,,RTO,Rs. 0
ORD0000076,C000130,06/01/2024 04:08,Rawalpindi,COD,NONE,PakRider,09/01/2024,,CNCL,Rs. 150
ORD0000077,C000016,06/01/2024 09:15,Hyderabad,COD,WELCOME15,PakRider,10/01/2024,09/01/2024 12:51,DLVD,Rs. 180
ORD0000078,C000128,06/01/2024 09:22,Lahore,COD,NONE,RapidRoute,09/01/2024,09/01/2024 16:24,DLVD,Rs. 0
ORD0000079,C000141,06/01/2024 10:33,Faisalabad,COD,NONE,PakRider,10/01/2024,10/01/2024 13:33,DLVD,Rs. 0
ORD0000080,C000121,06/01/2024 11:16,Faisalabad,COD,WELCOME15,SwiftShip,10/01/2024,09/01/2024 17:57,DLVD,Rs. 0
ORD0000081,C000122,06/01/2024 12:29,Hyderabad,CC,NONE,SwiftShip,10/01/2024,10/01/2024 17:47,DLVD,Rs. 180
ORD0000082,C000143,06/01/2024 13:23,Islamabad,COD,WELCOME15,PakRider,09/01/2024,,RTO,Rs. 0
ORD0000083,C000129,06/01/2024 15:02,Karachi,Cash on Delivery,WELCOME15,SwiftShip,09/01/2024,08/01/2024 13:56,DLVD,Rs. 0
ORD0000084,C000133,06/01/2024 15:40,Faisalabad,Cash on Delivery,NONE,RapidRoute,10/01/2024,,CNCL,Rs. 0
ORD0000085,C000132,06/01/2024 16:07,Karachi,COD,NONE,PakRider,09/01/2024,09/01/2024 15:06,DLVD,Rs. 0
ORD0000086,C000148,06/01/2024 17:01,Lahore,COD,FREESHIP,PakRider,09/01/2024,,RTO,Rs. 0
ORD0000087,C000140,06/01/2024 17:44,Karachi ,Cash on Delivery,NONE,SwiftShip,09/01/2024,09/01/2024 17:33,DLVD,Rs. 150
ORD0000088,C000131,06/01/2024 18:02,Karachi,WALLET,WELCOME15,SwiftShip,09/01/2024,08/01/2024 14:07,DLVD,Rs. 150
ORD0000089,C000027,06/01/2024 18:08,Gujranwala,COD,WELCOME15,PakRider,10/01/2024,09/01/2024 11:17,DLVD,Rs. 0
ORD0000090,C000139,06/01/2024 18:17,Rawalpindi,COD,WELCOME15,SwiftShip,09/01/2024,,CNCL,Rs. 0
ORD0000091,C000124,06/01/2024 21:47,Multan,COD,NONE,PakRider,10/01/2024,09/01/2024 11:25,DLVD,Rs. 0
ORD0000092,C000169,07/01/2024 07:55,"Karachi, Sindh",CC,NONE,SwiftShip,10/01/2024,09/01/2024 11:43,DLVD,Rs. 0
ORD0000093,C000157,07/01/2024 10:18,Gujranwala,CC,NONE,SwiftShip,11/01/2024,10/01/2024 15:17,DLVD,Rs. 0
ORD0000094,C000174,07/01/2024 11:06,Multan,COD,NONE,SwiftShip,11/01/2024,10/01/2024 14:07,DLVD,Rs. 0
ORD0000095,C000166,07/01/2024 11:19,Karachi,CC,WELCOME15,PakRider,10/01/2024,10/01/2024 19:24,DLVD,Rs. 0
ORD0000096,C000154,07/01/2024 11:30,RWP,COD,WELCOME15,SwiftShip,10/01/2024,09/01/2024 10:03,DLVD,Rs. 150
ORD0000097,C000163,07/01/2024 13:08,Peshawar,COD,WELCOME15,CityExpress,11/01/2024,10/01/2024 14:14,DLVD,Rs. 0
ORD0000098,C000153,07/01/2024 13:08,Karachi,WALLET,NONE,PakRider,10/01/2024,10/01/2024 12:36,DLVD,Rs. 0
ORD0000099,C000161,07/01/2024 13:09,Faisalabad,COD,NONE,PakRider,11/01/2024,10/01/2024 18:31,DLVD,Rs. 0
ORD0000100,C000181,07/01/2024 13:50,Lahore,CC,NONE,SwiftShip,10/01/2024,09/01/2024 12:51,DLVD,Rs. 150
ORD0000101,C000160,07/01/2024 14:30,Gujranwala,COD,NONE,CityExpress,11/01/2024,10/01/2024 14:59,DLVD,Rs. 0
ORD0000102,C000032,07/01/2024 17:00,Peshawar,CC,NONE,PakRider,11/01/2024,11/01/2024 18:22,DLVD,Rs. 0
ORD0000103,C000152,07/01/2024 17:43,Karachi,COD,NONE,CityExpress,10/01/2024,09/01/2024 15:53,DLVD,Rs. 150
ORD0000104,C000156,07/01/2024 17:54,Gujranwala,Cash on Delivery,NONE,SwiftShip,11/01/2024,11/01/2024 17:50,DLVD,Rs. 0
ORD0000105,C000180,07/01/2024 18:09,Lahore,WALLET,WELCOME15,RapidRoute,10/01/2024,10/01/2024 17:38,DLVD,Rs. 0
ORD0000106,C000173,07/01/2024 19:11,Lahore,COD,NONE,RapidRoute,10/01/2024,,RTO,Rs. 0
ORD0000107,C000159,07/01/2024 19:22,QUETTA,COD,NONE,PakRider,13/01/2024,,RTO,Rs. 0
ORD0000108,C000168,07/01/2024 20:14,Rawalpindi,COD,NONE,CityExpress,10/01/2024,10/01/2024 16:30,DLVD,Rs. 0
ORD0000109,C000170,07/01/2024 20:44,Quetta,Cash on Delivery,WELCOME15,RapidRoute,13/01/2024,13/01/2024 19:02,DLVD,Rs. 220
ORD0000110,C000123,07/01/2024 21:26,Quetta,COD,NONE,PakRider,13/01/2024,,RTO,Rs. 0
ORD0000111,C000177,07/01/2024 21:49,Lahore,COD,WELCOME15,CityExpress,10/01/2024,10/01/2024 12:53,DLVD,Rs. 0
ORD0000112,C000178,07/01/2024 21:54,Karachi,Cash on Delivery,NONE,PakRider,10/01/2024,09/01/2024 16:04,DLVD,Rs. 0
ORD0000113,C000171,07/01/2024 22:13,Karachi,Cash on Delivery,WELCOME15,RapidRoute,10/01/2024,10/01/2024 12:26,DLVD,Rs. 0
ORD0000114,C000182,07/01/2024 22:20,Karachi,WALLET,NONE,PakRider,10/01/2024,10/01/2024 11:46,DLVD,Rs. 0
ORD0000115,C000107,07/01/2024 22:28,Karachi,COD,NONE,RapidRoute,10/01/2024,11/01/2024 13:07,DLVD,Rs. 150
ORD0000116,C000176,07/01/2024 22:36,Multan,Cash on Delivery,FREESHIP,SwiftShip,11/01/2024,,RTO,Rs. 0
ORD0000117,C000045,08/01/2024 11:39,Peshawar,COD,WELCOME15,PakRider,12/01/2024,11/01/2024 10:51,DLVD,Rs. 0
ORD0000118,C000127,08/01/2024 11:39,Gujranwala,Cash on Delivery,FREESHIP,SwiftShip,12/01/2024,,RTO,Rs. 0
ORD0000119,C000204,08/01/2024 12:22,Islamabad,CC,NONE,PakRider,11/01/2024,12/01/2024 11:38,DLVD,Rs. 0
ORD0000120,C000181,08/01/2024 13:32,Lahore,COD,NONE,SwiftShip,11/01/2024,10/01/2024 16:04,DLVD,Rs. 150
ORD0000121,C000103,08/01/2024 13:34,Karachi,COD,NONE,CityExpress,11/01/2024,10/01/2024 14:49,DLVD,Rs. 0
ORD0000122,C000199,08/01/2024 14:08,Hyderabad,Cash on Delivery,WELCOME15,RapidRoute,12/01/2024,12/01/2024 18:04,DLVD,Rs. 0
ORD0000123,C000195,08/01/2024 14:42,Rawalpindi,CC,WELCOME15,SwiftShip,11/01/2024,10/01/2024 15:14,DLVD,Rs. 0
ORD0000124,C000189,08/01/2024 15:57,KHI,Cash on Delivery,NONE,PakRider,11/01/2024,11/01/2024 13:05,DLVD,Rs. 150
ORD0000125,C000197,08/01/2024 16:59,KHI,CC,NONE,SwiftShip,11/01/2024,11/01/2024 16:57,DLVD,Rs. 0
ORD0000126,C000194,08/01/2024 17:30,Gujranwala,Cash on Delivery,NONE,SwiftShip,12/01/2024,12/01/2024 18:36,DLVD,Rs. 0
ORD0000127,C000136,08/01/2024 17:54,Abbottabad,COD,WELCOME15,RapidRoute,14/01/2024,14/01/2024 15:41,DLVD,Rs. 220
ORD0000128,C000188,08/01/2024 18:53,Islamabad,COD,NONE,SwiftShip,11/01/2024,,RTO,Rs. 150
ORD0000129,C000187,08/01/2024 20:27,Karachi,Cash on Delivery,NONE,CityExpress,11/01/2024,10/01/2024 10:47,DLVD,Rs. 0
ORD0000129,C000187,08/01/2024 20:27,Karachi,Cash on Delivery,NONE,CityExpress,11/01/2024,10/01/2024 10:47,DLVD,Rs. 0
ORD0000130,C000192,08/01/2024 22:13,Quetta,COD,NONE,SwiftShip,14/01/2024,12/01/2024 13:29,DLVD,Rs. 220
ORD0000131,C000196,08/01/2024 22:16,Lahore,COD,WELCOME15,PakRider,11/01/2024,11/01/2024 18:58,DLVD,Rs. 0
ORD0000132,C000186,08/01/2024 22:51,Multan,COD,NONE,PakRider,12/01/2024,12/01/2024 14:57,DLVD,Rs. 0
ORD0000133,C000033,08/01/2024 22:54,Hyderabad,CC,WELCOME15,PakRider,12/01/2024,12/01/2024 15:01,DLVD,Rs. 0
ORD0000134,C000185,08/01/2024 22:55,Sargodha,WALLET,NONE,SwiftShip,14/01/2024,11/01/2024 13:37,DLVD,Rs. 0
ORD0000135,C000202,08/01/2024 23:46,Islamabad,COD,WELCOME15,SwiftShip,11/01/2024,11/01/2024 19:33,DLVD,Rs. 150
ORD0000136,C000102,09/01/2024 05:59,Faisalabad,WALLET,NONE,SwiftShip,13/01/2024,11/01/2024 15:58,DLVD,Rs. 180
ORD0000137,C000211,09/01/2024 06:20,Lahore,COD,NONE,CityExpress,12/01/2024,12/01/2024 15:05,DLVD,Rs. 0
ORD0000138,C000233,09/01/2024 08:22,Quetta,COD,NONE,PakRider,15/01/2024,13/01/2024 16:37,DLVD,Rs. 0
ORD0000139,C000218,09/01/2024 10:16,Islamabad,COD,NONE,RapidRoute,12/01/2024,12/01/2024 11:50,DLVD,Rs. 0
ORD0000140,C000214,09/01/2024 15:51,Quetta,CC,WELCOME15,SwiftShip,15/01/2024,12/01/2024 11:00,DLVD,Rs. 0
ORD0000141,C000144,09/01/2024 16:37,Karachi,Cash on Delivery,NONE,SwiftShip,12/01/2024,,RTO,Rs. 0
ORD0000142,C000055,09/01/2024 17:30,Peshawar,COD,WELCOME15,SwiftShip,13/01/2024,11/01/2024 12:54,DLVD,Rs. 0
ORD0000143,C000206,09/01/2024 17:37,Karachi,CC,WELCOME15,PakRider,12/01/2024,11/01/2024 14:18,DLVD,Rs. 0
ORD0000144,C000137,09/01/2024 18:05,Peshawar,COD,NONE,SwiftShip,13/01/2024,12/01/2024 18:30,DLVD,Rs. 0
ORD0000145,C000058,09/01/2024 18:46,faisalabad,COD,WELCOME15,SwiftShip,13/01/2024,12/01/2024 11:49,DLVD,Rs. 180
ORD0000146,C000005,09/01/2024 18:55,Peshawar,COD,WELCOME15,CityExpress,13/01/2024,,RTO,Rs. 0
ORD0000147,C000164,09/01/2024 19:43,Faisalabad,COD,NONE,SwiftShip,13/01/2024,12/01/2024 19:37,DLVD,Rs. 0
ORD0000148,C000227,09/01/2024 20:15,Sargodha,WALLET,NONE,RapidRoute,15/01/2024,15/01/2024 19:57,DLVD,Rs. 0
ORD0000149,C000004,09/01/2024 20:55,Karachi,COD,NONE,SwiftShip,12/01/2024,12/01/2024 12:41,DLVD,Rs. 0
ORD0000150,C000216,09/01/2024 21:08,Hyderabad,COD,NONE,CityExpress,13/01/2024,13/01/2024 17:30,DLVD,Rs. 0
ORD0000151,C000207,09/01/2024 21:13,,COD,NONE,SwiftShip,12/01/2024,11/01/2024 19:41,DLVD,Rs. 0
ORD0000152,C000222,09/01/2024 21:56,Sargodha,COD,NONE,RapidRoute,15/01/2024,15/01/2024 12:45,DLVD,Rs. 0
ORD0000153,C000231,09/01/2024 22:27,Sialkot,COD,WELCOME15,CityExpress,13/01/2024,12/01/2024 18:06,DLVD,Rs. 0
ORD0000154,C000219,09/01/2024 22:27,Karachi,COD,NONE,SwiftShip,12/01/2024,12/01/2024 15:07,DLVD,Rs. 0
ORD0000155,C000011,09/01/2024 22:38,Rawalpindi,COD,NONE,CityExpress,12/01/2024,11/01/2024 11:57,DLVD,Rs. 0
ORD0000156,C000221,09/01/2024 23:21,Islamabad,CC,NONE,SwiftShip,12/01/2024,10/01/2024 19:10,DLVD,Rs. 0
ORD0000157,C000239,10/01/2024 00:09,Rawalpindi,COD,NONE,RapidRoute,13/01/2024,13/01/2024 12:14,DLVD,Rs. 0
ORD0000158,C000055,10/01/2024 01:37,Peshawar,Cash on Delivery,NONE,SwiftShip,14/01/2024,,CNCL,Rs. 180
ORD0000159,C000249,10/01/2024 07:30,Rawalpindi,CC,WELCOME15,PakRider,13/01/2024,13/01/2024 17:22,DLVD,Rs. 150
ORD0000160,C000240,10/01/2024 09:14,Lahore,Cash on Delivery,NONE,SwiftShip,13/01/2024,12/01/2024 18:13,DLVD,Rs. 150
ORD0000161,C000251,10/01/2024 10:17,Lahore,COD,NONE,PakRider,13/01/2024,12/01/2024 12:45,DLVD,Rs. 150
ORD0000162,C000235,10/01/2024 13:11,Karachi,COD,NONE,SwiftShip,13/01/2024,13/01/2024 14:29,DLVD,Rs. 150
ORD0000163,C000259,10/01/2024 13:35,Islamabad,COD,WELCOME15,SwiftShip,13/01/2024,11/01/2024 15:39,DLVD,Rs. 150
ORD0000164,C000089,10/01/2024 13:39,Multan,COD,WELCOME15,RapidRoute,14/01/2024,14/01/2024 13:20,DLVD,Rs. 180
ORD0000165,C000256,10/01/2024 14:10,Sukkur,COD,NONE,RapidRoute,16/01/2024,16/01/2024 12:58,DLVD,Rs. 0
ORD0000166,C000245,10/01/2024 16:36,Gujranwala,Cash on Delivery,NONE,PakRider,14/01/2024,,RTO,Rs. 180
ORD0000167,C000242,10/01/2024 16:40,Karachi,CC,NONE,SwiftShip,13/01/2024,13/01/2024 18:35,DLVD,Rs. 150
ORD0000168,C000241,10/01/2024 17:08,Lahore,COD,FREESHIP,SwiftShip,13/01/2024,12/01/2024 16:00,DLVD,Rs. 0
ORD0000169,C000253,10/01/2024 18:06,Karachi,CC,WELCOME15,SwiftShip,13/01/2024,12/01/2024 15:09,DLVD,Rs. 0
ORD0000170,C000250,10/01/2024 19:42,Faisalabad,WALLET,NONE,RapidRoute,14/01/2024,14/01/2024 18:44,DLVD,Rs. 0
ORD0000171,C000181,10/01/2024 19:49,Lahore,COD,NONE,PakRider,13/01/2024,12/01/2024 17:50,DLVD,Rs. 150
ORD0000172,C000109,10/01/2024 19:55,Hyderabad,Cash on Delivery,WELCOME15,CityExpress,14/01/2024,13/01/2024 19:32,DLVD,Rs. 0
ORD0000173,C000238,10/01/2024 19:56,Lahore,COD,NONE,CityExpress,13/01/2024,13/01/2024 12:52,DLVD,Rs. 0
ORD0000174,C000248,10/01/2024 20:20,Islamabad,CC,WELCOME15,SwiftShip,13/01/2024,12/01/2024 18:05,DLVD,Rs. 150
ORD0000175,C000112,10/01/2024 20:33,Karachi,WALLET,WELCOME15,SwiftShip,13/01/2024,12/01/2024 15:35,DLVD,Rs. 0
ORD0000176,C000236,10/01/2024 21:42,Gujranwala,CC,NONE,PakRider,14/01/2024,13/01/2024 14:02,DLVD,Rs. 180
ORD0000177,C000029,10/01/2024 21:53,Karachi,COD,NONE,PakRider,13/01/2024,13/01/2024 14:26,DLVD,Rs. 0
ORD0000178,C000155,10/01/2024 22:02,Rawalpindi,COD,NONE,RapidRoute,13/01/2024,13/01/2024 10:28,DLVD,Rs. 0
ORD0000179,C000254,10/01/2024 22:16,Islamabad,COD,NONE,RapidRoute,13/01/2024,14/01/2024 19:28,DLVD,Rs. 0
ORD0000180,C000135,10/01/2024 22:19,Quetta,COD,NONE,SwiftShip,16/01/2024,,CNCL,Rs. 0
ORD0000181,C000246,10/01/2024 22:22,Peshawar,COD,NONE,RapidRoute,14/01/2024,,RTO,Rs. 0
ORD0000182,C000237,10/01/2024 22:43,lahore,Cash on Delivery,WELCOME15,PakRider,13/01/2024,13/01/2024 13:56,DLVD,Rs. 0
ORD0000183,C000266,11/01/2024 02:20,Islamabad,COD,NONE,SwiftShip,14/01/2024,13/01/2024 10:24,DLVD,Rs. 0
ORD0000184,C000228,11/01/2024 06:21,Lahore,COD,WELCOME15,SwiftShip,14/01/2024,15/01/2024 12:24,DLVD,Rs. 0
ORD0000185,C000252,11/01/2024 09:23,Faisalabad,Cash on Delivery,WELCOME15,SwiftShip,15/01/2024,13/01/2024 13:40,DLVD,Rs. 0
ORD0000186,C000215,11/01/2024 09:56,Rawalpindi,COD,NONE,PakRider,14/01/2024,,RTO,Rs. 150
ORD0000187,C000267,11/01/2024 10:28,Lahore,COD,WELCOME15,PakRider,14/01/2024,14/01/2024 11:41,DLVD,Rs. 0
ORD0000188,C000268,11/01/2024 10:41,Rawalpindi,COD,WELCOME15,PakRider,14/01/2024,13/01/2024 18:50,DLVD,Rs. 150
ORD0000189,C000151,11/01/2024 12:09,Karachi,Cash on Delivery,WELCOME15,SwiftShip,14/01/2024,13/01/2024 19:07,DLVD,Rs. 0
ORD0000190,C000039,11/01/2024 13:11,Gujranwala,Cash on Delivery,NONE,PakRider,15/01/2024,15/01/2024 17:54,DLVD,Rs. 0
ORD0000191,C000272,11/01/2024 13:24,Lahore,Cash on Delivery,NONE,CityExpress,14/01/2024,13/01/2024 10:04,DLVD,Rs. 0
ORD0000192,C000134,11/01/2024 13:29,Karachi,CC,NONE,SwiftShip,14/01/2024,13/01/2024 19:20,DLVD,Rs. 0
