customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,segment
C003774,754,1,0.0,1,1,1,Lost
C003792,754,1,0.0,1,1,1,Lost
C003808,749,1,0.0,1,1,1,Lost
C003839,753,1,0.0,1,1,1,Lost
C003855,752,1,0.0,1,1,1,Lost
C003871,750,1,0.0,1,1,1,Lost
C003881,751,1,0.0,1,1,1,Lost
C003943,749,1,0.0,1,1,1,Lost
C003967,749,1,0.0,1,1,1,Lost
C004038,746,1,0.0,1,1,1,Lost
C004047,746,1,0.0,1,1,1,Lost
C004053,740,1,0.0,1,1,1,Lost
C004056,744,1,0.0,1,1,1,Lost
C004174,741,1,0.0,1,1,1,Lost
C004204,737,1,0.0,1,1,1,Lost
C004368,728,1,0.0,1,1,1,Lost
C004434,731,1,0.0,1,1,1,Lost
C004435,731,1,0.0,1,1,1,Lost
C004491,729,1,0.0,1,1,1,Lost
C004558,727,1,0.0,1,1,1,Lost
C004561,720,1,0.0,1,1,1,Lost
C004605,722,1,0.0,1,1,1,Lost
C004645,724,1,0.0,1,1,1,Lost
C004698,722,1,0.0,1,1,1,Lost
C004783,719,1,0.0,1,1,1,Lost
C004796,716,1,0.0,1,1,1,Lost
C004845,710,1,0.0,1,1,1,Lost
C004896,714,1,0.0,1,1,1,Lost
C004901,714,1,0.0,1,1,1,Lost
C004961,712,1,0.0,1,1,1,Lost
C004971,712,1,0.0,1,1,1,Lost
C005012,710,1,0.0,1,1,1,Lost
C005057,701,1,0.0,1,1,1,Lost
C005086,707,1,0.0,1,1,1,Lost
C005089,707,1,0.0,1,1,1,Lost
C005120,705,1,0.0,1,1,1,Lost
C005221,699,1,0.0,1,1,1,Lost
C005230,702,1,0.0,1,1,1,Lost
C005285,700,1,0.0,1,1,1,Lost
C005475,685,1,0.0,1,1,1,Lost
C005534,692,1,0.0,1,1,1,Lost
C005620,689,1,0.0,1,1,1,Lost
C005642,685,1,0.0,1,1,1,Lost
C005703,687,1,0.0,1,1,1,Lost
C005743,675,1,0.0,1,1,1,Lost
C005781,672,1,0.0,1,1,1,Lost
C005819,685,1,0.0,1,1,1,Lost
C005820,684,1,0.0,1,1,1,Lost
C005840,625,1,0.0,1,1,1,Lost
C005859,684,1,0.0,1,1,1,Lost
C005863,684,1,0.0,1,1,1,Lost
C005875,683,1,0.0,1,1,1,Lost
C005885,683,1,0.0,1,1,1,Lost
C005918,682,1,0.0,1,1,1,Lost
C005943,678,1,0.0,1,1,1,Lost
C005956,681,1,0.0,1,1,1,Lost
C005960,680,1,0.0,1,1,1,Lost
C005973,663,2,0.0,1,3,1,At risk
C006002,679,1,0.0,1,1,1,Lost
C006014,667,1,0.0,1,1,1,Lost
C006106,675,1,0.0,1,1,1,Lost
C006197,641,1,0.0,1,1,1,Lost
C006198,659,1,0.0,1,1,1,Lost
C006218,671,1,0.0,1,1,1,Lost
C006263,670,1,0.0,1,1,1,Lost
C006269,670,1,0.0,1,1,1,Lost
C006338,664,1,0.0,1,1,1,Lost
C006452,652,1,0.0,1,1,1,Lost
C006459,663,1,0.0,1,1,1,Lost
C006488,662,1,0.0,1,1,1,Lost
C006510,661,1,0.0,1,1,1,Lost
C006531,660,1,0.0,1,1,1,Lost
C006554,655,1,0.0,1,1,1,Lost
C006576,659,1,0.0,1,1,1,Lost
C006577,651,1,0.0,1,1,1,Lost
C006623,639,1,0.0,1,1,1,Lost
C006688,654,1,0.0,1,1,1,Lost
C006777,651,1,0.0,1,1,1,Lost
C006797,647,1,0.0,1,1,1,Lost
C006837,649,1,0.0,1,1,1,Lost
C006857,644,1,0.0,1,1,1,Lost
C006881,643,1,0.0,1,1,1,Lost
C007004,643,1,0.0,1,1,1,Lost
C007076,641,1,0.0,1,1,1,Lost
C007306,594,1,0.0,1,1,1,Lost
C007324,632,1,0.0,1,1,1,Lost
C007338,596,1,0.0,1,1,1,Lost
C007418,629,1,0.0,1,1,1,Lost
C007478,621,1,0.0,1,1,1,Lost
C007546,624,1,0.0,1,1,1,Lost
C007615,622,1,0.0,1,1,1,Lost
C007653,621,1,0.0,1,1,1,Lost
C007674,620,1,0.0,1,1,1,Lost
C007680,620,1,0.0,1,1,1,Lost
C007726,619,1,0.0,1,1,1,Lost
C007796,617,1,0.0,1,1,1,Lost
C007845,615,1,0.0,1,1,1,Lost
C007916,611,1,0.0,1,1,1,Lost
C007963,609,1,0.0,1,1,1,Lost
C008001,611,1,0.0,1,1,1,Lost
C008057,609,1,0.0,1,1,1,Lost
C008109,605,1,0.0,1,1,1,Lost
C008156,605,1,0.0,1,1,1,Lost
C008186,602,1,0.0,1,1,1,Lost
C008196,605,1,0.0,1,1,1,Lost
C008205,605,1,0.0,1,1,1,Lost
C008217,601,1,0.0,1,1,1,Lost
C008226,590,1,0.0,1,1,1,Lost
C008296,590,1,0.0,1,1,1,Lost
C008328,595,1,0.0,1,1,1,Lost
C008350,600,1,0.0,1,1,1,Lost
C008477,591,1,0.0,1,1,1,Lost
C008535,596,1,0.0,1,1,1,Lost
C008539,596,1,0.0,1,1,1,Lost
C008557,596,1,0.0,1,1,1,Lost
C008565,596,1,0.0,1,1,1,Lost
C008570,596,1,0.0,1,1,1,Lost
C008656,596,1,0.0,1,1,1,Lost
C008689,589,1,0.0,1,1,1,Lost
C008749,590,1,0.0,1,1,1,Lost
C008766,594,1,0.0,1,1,1,Lost
C008799,593,1,0.0,1,1,1,Lost
C008827,594,1,0.0,1,1,1,Lost
C008851,593,1,0.0,1,1,1,Lost
C008875,592,1,0.0,1,1,1,Lost
C008973,572,1,0.0,2,1,1,Lost
C008975,579,1,0.0,1,1,1,Lost
C008989,589,1,0.0,1,1,1,Lost
C009027,586,2,0.0,1,3,1,At risk
C009127,584,1,0.0,1,1,1,Lost
C009137,584,1,0.0,1,1,1,Lost
C009176,558,1,0.0,2,1,1,Lost
C009204,582,1,0.0,1,1,1,Lost
C009243,581,1,0.0,1,1,1,Lost
C009261,580,1,0.0,1,1,1,Lost
C009301,565,1,0.0,2,1,1,Lost
C009327,576,1,0.0,2,1,1,Lost
C009330,578,1,0.0,2,1,1,Lost
C009341,578,1,0.0,2,1,1,Lost
C009380,578,1,0.0,2,1,1,Lost
C009388,578,1,0.0,2,1,1,Lost
C009391,578,1,0.0,2,1,1,Lost
C009396,574,1,0.0,2,1,1,Lost
C009424,565,2,0.0,2,3,1,At risk
C009441,578,1,0.0,2,1,1,Lost
C009454,578,1,0.0,2,1,1,Lost
C009455,578,1,0.0,2,1,1,Lost
C009491,577,1,0.0,2,1,1,Lost
C009545,577,1,0.0,2,1,1,Lost
C009562,576,1,0.0,2,1,1,Lost
C009598,575,1,0.0,2,1,1,Lost
C009680,571,1,0.0,2,1,1,Lost
C009815,564,1,0.0,2,1,1,Lost
C009833,529,2,0.0,2,3,1,At risk
C009836,567,1,0.0,2,1,1,Lost
C009848,567,1,0.0,2,1,1,Lost
C009851,562,1,0.0,2,1,1,Lost
C009871,565,1,0.0,2,1,1,Lost
C009907,552,1,0.0,2,1,1,Lost
C009926,565,1,0.0,2,1,1,Lost
C009927,565,1,0.0,2,1,1,Lost
C010002,565,1,0.0,2,1,1,Lost
C010061,564,1,0.0,2,1,1,Lost
C010113,563,1,0.0,2,1,1,Lost
C010145,562,1,0.0,2,1,1,Lost
C010153,559,1,0.0,2,1,1,Lost
C010184,561,1,0.0,2,1,1,Lost
C010200,560,1,0.0,2,1,1,Lost
C010319,545,1,0.0,2,1,1,Lost
C010393,538,1,0.0,2,1,1,Lost
C010457,552,1,0.0,2,1,1,Lost
C010473,551,1,0.0,2,1,1,Lost
C010555,549,1,0.0,2,1,1,Lost
C010628,544,1,0.0,2,1,1,Lost
C010754,528,1,0.0,2,1,1,Lost
C010816,540,1,0.0,2,1,1,Lost
C010820,540,1,0.0,2,1,1,Lost
C010906,538,1,0.0,2,1,1,Lost
C010989,536,1,0.0,2,1,1,Lost
C010992,536,1,0.0,2,1,1,Lost
C011064,533,1,0.0,2,1,1,Lost
C011148,528,1,0.0,2,1,1,Lost
C011243,528,1,0.0,2,1,1,Lost
C011350,524,1,0.0,2,1,1,Lost
C011371,523,1,0.0,2,1,1,Lost
C011393,522,1,0.0,2,1,1,Lost
C011438,521,1,0.0,2,1,1,Lost
C011483,513,1,0.0,2,1,1,Lost
C011484,501,1,0.0,2,1,1,Lost
C011516,520,1,0.0,2,1,1,Lost
C011624,517,1,0.0,2,1,1,Lost
C011634,516,1,0.0,2,1,1,Lost
C011817,505,2,0.0,2,3,1,At risk
C011882,509,1,0.0,2,1,1,Lost
C011969,506,1,0.0,2,1,1,Lost
C011970,499,1,0.0,2,1,1,Lost
C011983,506,1,0.0,2,1,1,Lost
C012000,501,1,0.0,2,1,1,Lost
C012054,481,1,0.0,2,1,1,Lost
C012111,502,1,0.0,2,1,1,Lost
C012177,500,1,0.0,2,1,1,Lost
C012203,499,1,0.0,2,1,1,Lost
C012231,480,2,0.0,2,3,1,At risk
C012354,489,1,0.0,2,1,1,Lost
C012396,480,2,0.0,2,3,1,At risk
C012419,492,1,0.0,2,1,1,Lost
C012606,479,1,0.0,2,1,1,Lost
C012658,471,1,0.0,2,1,1,Lost
C012702,485,1,0.0,2,1,1,Lost
C012720,479,1,0.0,2,1,1,Lost
C012746,481,1,0.0,2,1,1,Lost
C012869,479,1,0.0,2,1,1,Lost
C012953,476,1,0.0,2,1,1,Lost
C012992,474,1,0.0,2,1,1,Lost
C013023,474,1,0.0,2,1,1,Lost
C013074,467,1,0.0,2,1,1,Lost
C013091,472,1,0.0,2,1,1,Lost
C013120,446,1,0.0,2,1,1,Lost
C013216,468,1,0.0,2,1,1,Lost
C013252,451,1,0.0,2,1,1,Lost
C013403,451,1,0.0,2,1,1,Lost
C013407,459,1,0.0,2,1,1,Lost
C013433,463,1,0.0,2,1,1,Lost
C013435,463,1,0.0,2,1,1,Lost
C013471,458,1,0.0,2,1,1,Lost
C013499,456,1,0.0,2,1,1,Lost
C013525,461,1,0.0,2,1,1,Lost
C013570,460,1,0.0,2,1,1,Lost
C013578,446,1,0.0,2,1,1,Lost
C013582,446,1,0.0,2,1,1,Lost
C013604,459,1,0.0,2,1,1,Lost
C013610,459,1,0.0,2,1,1,Lost
C013673,446,1,0.0,2,1,1,Lost
C013690,457,1,0.0,2,1,1,Lost
C013693,457,1,0.0,2,1,1,Lost
C013695,457,1,0.0,2,1,1,Lost
C013698,457,1,0.0,2,1,1,Lost
C013720,457,1,0.0,2,1,1,Lost
C013764,455,1,0.0,2,1,1,Lost
C013851,451,1,0.0,2,1,1,Lost
C013929,446,1,0.0,2,1,1,Lost
C014063,445,1,0.0,2,1,1,Lost
C014099,394,1,0.0,2,1,1,Lost
C014229,441,1,0.0,2,1,1,Lost
C014243,441,1,0.0,2,1,1,Lost
C014272,440,1,0.0,2,1,1,Lost
C014300,419,1,0.0,2,1,1,Lost
C014374,433,1,0.0,2,1,1,Lost
C014428,434,1,0.0,2,1,1,Lost
C014441,412,1,0.0,2,1,1,Lost
C014469,431,2,0.0,2,3,1,At risk
C014582,432,1,0.0,2,1,1,Lost
C014604,431,1,0.0,2,1,1,Lost
C014607,431,1,0.0,2,1,1,Lost
C014640,430,1,0.0,2,1,1,Lost
C014664,428,1,0.0,2,1,1,Lost
C014692,420,1,0.0,2,1,1,Lost
C014728,428,1,0.0,2,1,1,Lost
C014743,419,1,0.0,2,1,1,Lost
C014791,424,1,0.0,2,1,1,Lost
C014803,426,1,0.0,2,1,1,Lost
C014819,426,1,0.0,2,1,1,Lost
C014837,421,1,0.0,2,1,1,Lost
C014855,425,1,0.0,2,1,1,Lost
C014984,421,1,0.0,2,1,1,Lost
C015020,390,1,0.0,2,1,1,Lost
C015027,410,1,0.0,2,1,1,Lost
C015035,420,1,0.0,2,1,1,Lost
C015056,419,1,0.0,2,1,1,Lost
C015076,382,1,0.0,2,1,1,Lost
C015100,383,1,0.0,2,1,1,Lost
C015144,417,1,0.0,2,1,1,Lost
C015230,415,1,0.0,2,1,1,Lost
C015295,413,1,0.0,2,1,1,Lost
C015311,399,1,0.0,2,1,1,Lost
C015322,411,1,0.0,2,1,1,Lost
C015354,368,1,0.0,3,1,1,Needs attention
C015379,411,1,0.0,2,1,1,Lost
C015382,410,1,0.0,2,1,1,Lost
C015399,411,1,0.0,2,1,1,Lost
C015410,396,1,0.0,2,1,1,Lost
C015466,409,1,0.0,2,1,1,Lost
C015560,406,1,0.0,2,1,1,Lost
C015571,400,1,0.0,2,1,1,Lost
C015615,405,1,0.0,2,1,1,Lost
C015641,404,1,0.0,2,1,1,Lost
C015674,396,1,0.0,2,1,1,Lost
C015677,403,1,0.0,2,1,1,Lost
C015711,402,1,0.0,2,1,1,Lost
C015720,402,1,0.0,2,1,1,Lost
C015727,397,1,0.0,2,1,1,Lost
C015886,397,1,0.0,2,1,1,Lost
C015891,379,1,0.0,2,1,1,Lost
C015895,396,1,0.0,2,1,1,Lost
C015926,396,1,0.0,2,1,1,Lost
C015932,396,1,0.0,2,1,1,Lost
C015975,377,1,0.0,2,1,1,Lost
C015999,394,1,0.0,2,1,1,Lost
C016005,394,1,0.0,2,1,1,Lost
C016138,330,1,0.0,3,1,1,Needs attention
C016205,389,1,0.0,2,1,1,Lost
C016221,389,1,0.0,2,1,1,Lost
C016240,388,1,0.0,2,1,1,Lost
C016332,385,1,0.0,2,1,1,Lost
C016397,317,1,0.0,3,1,1,Needs attention
C016430,382,1,0.0,2,1,1,Lost
C016439,278,1,0.0,3,1,1,Needs attention
C016518,380,1,0.0,2,1,1,Lost
C016527,286,1,0.0,3,1,1,Needs attention
C016547,379,1,0.0,2,1,1,Lost
C016576,377,1,0.0,2,1,1,Lost
C016583,378,1,0.0,2,1,1,Lost
C016589,378,1,0.0,2,1,1,Lost
C016700,359,1,0.0,3,1,1,Needs attention
C016751,364,1,0.0,3,1,1,Needs attention
C016761,363,1,0.0,3,1,1,Needs attention
C016922,368,1,0.0,3,1,1,Needs attention
C016930,368,1,0.0,3,1,1,Needs attention
C016944,307,1,0.0,3,1,1,Needs attention
C017010,365,1,0.0,3,1,1,Needs attention
C017024,361,1,0.0,3,1,1,Needs attention
C017077,365,1,0.0,3,1,1,Needs attention
C017187,362,1,0.0,3,1,1,Needs attention
C017201,361,1,0.0,3,1,1,Needs attention
C017210,361,1,0.0,3,1,1,Needs attention
C017221,361,1,0.0,3,1,1,Needs attention
C017275,356,1,0.0,3,1,1,Needs attention
C017346,358,1,0.0,3,1,1,Needs attention
C017558,353,1,0.0,3,1,1,Needs attention
C017567,352,1,0.0,3,1,1,Needs attention
C017594,340,1,0.0,3,1,1,Needs attention
C017654,350,1,0.0,3,1,1,Needs attention
C017689,350,1,0.0,3,1,1,Needs attention
C017694,320,2,0.0,3,3,1,Loyal
C017733,320,1,0.0,3,1,1,Needs attention
C017800,309,1,0.0,3,1,1,Needs attention
C017885,332,1,0.0,3,1,1,Needs attention
C017889,345,1,0.0,3,1,1,Needs attention
C017907,345,1,0.0,3,1,1,Needs attention
C017977,343,1,0.0,3,1,1,Needs attention
C017999,342,1,0.0,3,1,1,Needs attention
C018009,342,1,0.0,3,1,1,Needs attention
C018025,342,1,0.0,3,1,1,Needs attention
C018031,342,1,0.0,3,1,1,Needs attention
C018072,340,1,0.0,3,1,1,Needs attention
C018188,338,1,0.0,3,1,1,Needs attention
C018219,330,1,0.0,3,1,1,Needs attention
C018232,327,1,0.0,3,1,1,Needs attention
C018239,333,1,0.0,3,1,1,Needs attention
C018257,337,1,0.0,3,1,1,Needs attention
C018287,336,1,0.0,3,1,1,Needs attention
C018290,336,1,0.0,3,1,1,Needs attention
C018390,334,1,0.0,3,1,1,Needs attention
C018436,319,1,0.0,3,1,1,Needs attention
C018440,266,1,0.0,3,1,1,Needs attention
C018456,320,2,0.0,3,3,1,Loyal
C018530,316,1,0.0,3,1,1,Needs attention
C018539,318,1,0.0,3,1,1,Needs attention
C018549,325,1,0.0,3,1,1,Needs attention
C018565,319,1,0.0,3,1,1,Needs attention
C018570,324,1,0.0,3,1,1,Needs attention
C018608,328,1,0.0,3,1,1,Needs attention
C018628,328,1,0.0,3,1,1,Needs attention
C018747,321,1,0.0,3,1,1,Needs attention
C018771,320,1,0.0,3,1,1,Needs attention
C018778,324,1,0.0,3,1,1,Needs attention
C018788,324,1,0.0,3,1,1,Needs attention
C018865,313,1,0.0,3,1,1,Needs attention
C018867,322,1,0.0,3,1,1,Needs attention
C018956,320,1,0.0,3,1,1,Needs attention
C018958,321,1,0.0,3,1,1,Needs attention
C018980,320,1,0.0,3,1,1,Needs attention
C019003,320,1,0.0,3,1,1,Needs attention
C019013,315,1,0.0,3,1,1,Needs attention
C019016,320,1,0.0,3,1,1,Needs attention
C019049,320,1,0.0,3,1,1,Needs attention
C019067,316,1,0.0,3,1,1,Needs attention
C019105,319,1,0.0,3,1,1,Needs attention
C019133,319,1,0.0,3,1,1,Needs attention
C019159,314,1,0.0,3,1,1,Needs attention
C019206,317,1,0.0,3,1,1,Needs attention
C019252,316,1,0.0,3,1,1,Needs attention
C019281,316,1,0.0,3,1,1,Needs attention
C019300,313,1,0.0,3,1,1,Needs attention
C019355,313,1,0.0,3,1,1,Needs attention
C019410,312,1,0.0,3,1,1,Needs attention
C019450,303,1,0.0,3,1,1,Needs attention
C019497,307,1,0.0,3,1,1,Needs attention
C019526,309,1,0.0,3,1,1,Needs attention
C019644,307,1,0.0,3,1,1,Needs attention
C019655,306,1,0.0,3,1,1,Needs attention
C019672,306,1,0.0,3,1,1,Needs attention
C019692,302,1,0.0,3,1,1,Needs attention
C019722,305,1,0.0,3,1,1,Needs attention
C019749,216,2,0.0,3,3,1,Loyal
C019824,303,1,0.0,3,1,1,Needs attention
C019847,302,1,0.0,3,1,1,Needs attention
C019985,292,1,0.0,3,1,1,Needs attention
C019990,298,1,0.0,3,1,1,Needs attention
C020014,258,1,0.0,3,1,1,Needs attention
C020131,288,1,0.0,3,1,1,Needs attention
C020331,290,1,0.0,3,1,1,Needs attention
C020376,280,1,0.0,3,1,1,Needs attention
C020377,287,1,0.0,3,1,1,Needs attention
C020389,289,1,0.0,3,1,1,Needs attention
C020491,286,1,0.0,3,1,1,Needs attention
C020495,286,1,0.0,3,1,1,Needs attention
C020558,280,1,0.0,3,1,1,Needs attention
C020563,284,1,0.0,3,1,1,Needs attention
C020662,282,1,0.0,3,1,1,Needs attention
C020709,275,1,0.0,3,1,1,Needs attention
C020740,280,1,0.0,3,1,1,Needs attention
C020762,279,1,0.0,3,1,1,Needs attention
C020780,270,1,0.0,3,1,1,Needs attention
C020792,272,1,0.0,3,1,1,Needs attention
C020802,279,1,0.0,3,1,1,Needs attention
C020848,272,1,0.0,3,1,1,Needs attention
C020900,276,1,0.0,3,1,1,Needs attention
C020911,276,1,0.0,3,1,1,Needs attention
C020921,210,1,0.0,4,1,1,New or promising
C020927,276,1,0.0,3,1,1,Needs attention
C021002,274,1,0.0,3,1,1,Needs attention
C021045,273,1,0.0,3,1,1,Needs attention
C021094,265,1,0.0,3,1,1,Needs attention
C021141,270,1,0.0,3,1,1,Needs attention
C021323,266,1,0.0,3,1,1,Needs attention
C021450,263,1,0.0,3,1,1,Needs attention
C021497,262,1,0.0,3,1,1,Needs attention
C021537,231,1,0.0,3,1,1,Needs attention
C021727,257,1,0.0,3,1,1,Needs attention
C021778,177,1,0.0,4,1,1,New or promising
C021781,175,1,0.0,4,1,1,New or promising
C021805,246,1,0.0,3,1,1,Needs attention
C021811,157,1,0.0,4,1,1,New or promising
C021865,254,1,0.0,3,1,1,Needs attention
C021917,248,1,0.0,3,1,1,Needs attention
C022031,251,1,0.0,3,1,1,Needs attention
C022032,251,1,0.0,3,1,1,Needs attention
C022088,236,2,0.0,3,3,1,Loyal
C022148,239,1,0.0,3,1,1,Needs attention
C022194,235,1,0.0,3,1,1,Needs attention
C022282,246,1,0.0,3,1,1,Needs attention
C022318,245,1,0.0,3,1,1,Needs attention
C022348,242,1,0.0,3,1,1,Needs attention
C022428,243,1,0.0,3,1,1,Needs attention
C022430,243,1,0.0,3,1,1,Needs attention
C022457,242,1,0.0,3,1,1,Needs attention
C022691,237,1,0.0,3,1,1,Needs attention
C022739,53,1,0.0,5,1,1,New or promising
C022752,230,1,0.0,3,1,1,Needs attention
C022840,234,1,0.0,3,1,1,Needs attention
C022845,221,1,0.0,3,1,1,Needs attention
C022848,229,1,0.0,3,1,1,Needs attention
C022861,231,1,0.0,3,1,1,Needs attention
C022903,214,1,0.0,3,1,1,Needs attention
C022919,217,1,0.0,3,1,1,Needs attention
C023010,231,1,0.0,3,1,1,Needs attention
C023029,231,1,0.0,3,1,1,Needs attention
C023031,231,1,0.0,3,1,1,Needs attention
C023051,124,1,0.0,4,1,1,New or promising
C023059,230,1,0.0,3,1,1,Needs attention
C023078,231,1,0.0,3,1,1,Needs attention
C023115,231,1,0.0,3,1,1,Needs attention
C023124,217,1,0.0,3,1,1,Needs attention
C023138,227,1,0.0,3,1,1,Needs attention
C023210,231,1,0.0,3,1,1,Needs attention
C023232,231,1,0.0,3,1,1,Needs attention
C023236,200,1,0.0,4,1,1,New or promising
C023257,231,1,0.0,3,1,1,Needs attention
C023259,231,1,0.0,3,1,1,Needs attention
C023272,229,1,0.0,3,1,1,Needs attention
C023326,230,1,0.0,3,1,1,Needs attention
C023339,231,1,0.0,3,1,1,Needs attention
C023429,230,1,0.0,3,1,1,Needs attention
C023454,225,1,0.0,3,1,1,Needs attention
C023502,228,1,0.0,3,1,1,Needs attention
C023563,203,1,0.0,4,1,1,New or promising
C023592,222,1,0.0,3,1,1,Needs attention
C023603,226,1,0.0,3,1,1,Needs attention
C023717,224,1,0.0,3,1,1,Needs attention
C023737,223,1,0.0,3,1,1,Needs attention
C023802,222,1,0.0,3,1,1,Needs attention
C023886,220,1,0.0,3,1,1,Needs attention
C023931,219,1,0.0,3,1,1,Needs attention
C023969,219,1,0.0,3,1,1,Needs attention
C023996,211,1,0.0,4,1,1,New or promising
C024014,209,1,0.0,4,1,1,New or promising
C024120,215,1,0.0,3,1,1,Needs attention
C024198,205,1,0.0,4,1,1,New or promising
C024248,214,1,0.0,3,1,1,Needs attention
C024294,207,1,0.0,4,1,1,New or promising
C024323,214,1,0.0,3,1,1,Needs attention
C024350,214,1,0.0,3,1,1,Needs attention
C024398,214,1,0.0,3,1,1,Needs attention
C024402,212,1,0.0,3,1,1,Needs attention
C024426,214,1,0.0,3,1,1,Needs attention
C024456,213,1,0.0,3,1,1,Needs attention
C024477,212,1,0.0,3,1,1,Needs attention
C024567,211,1,0.0,4,1,1,New or promising
C024583,211,1,0.0,4,1,1,New or promising
C024621,210,1,0.0,4,1,1,New or promising
C024626,71,1,0.0,5,1,1,New or promising
C024632,208,1,0.0,4,1,1,New or promising
C024645,210,1,0.0,4,1,1,New or promising
C024657,200,1,0.0,4,1,1,New or promising
C024695,209,1,0.0,4,1,1,New or promising
C024795,198,1,0.0,4,1,1,New or promising
C024797,207,1,0.0,4,1,1,New or promising
C024806,189,1,0.0,4,1,1,New or promising
C024843,198,1,0.0,4,1,1,New or promising
C024872,197,1,0.0,4,1,1,New or promising
C024907,203,1,0.0,4,1,1,New or promising
C024912,203,1,0.0,4,1,1,New or promising
C024934,56,1,0.0,5,1,1,New or promising
C024944,93,1,0.0,4,1,1,New or promising
C024961,203,1,0.0,4,1,1,New or promising
C024981,197,1,0.0,4,1,1,New or promising
C024989,188,1,0.0,4,1,1,New or promising
C025028,200,1,0.0,4,1,1,New or promising
C025030,202,1,0.0,4,1,1,New or promising
C025065,200,1,0.0,4,1,1,New or promising
C025149,200,1,0.0,4,1,1,New or promising
C025195,200,1,0.0,4,1,1,New or promising
C025205,200,1,0.0,4,1,1,New or promising
C025239,200,1,0.0,4,1,1,New or promising
C025307,200,1,0.0,4,1,1,New or promising
C025310,200,1,0.0,4,1,1,New or promising
C025314,199,1,0.0,4,1,1,New or promising
C025331,200,1,0.0,4,1,1,New or promising
C025379,199,1,0.0,4,1,1,New or promising
C025510,196,1,0.0,4,1,1,New or promising
C025580,195,1,0.0,4,1,1,New or promising
