seller_id,seller_name,category,items_delivered,items_returned,not_as_described_returns,return_rate_pct,category_return_rate_pct,z_score,flagged
S0063,Crescent Mart,Mobile Accessories,163,7,0,4.29,6.63,-1.2,False
S0064,Chenab Store,Mobile Accessories,1241,89,18,7.17,6.63,0.77,False
S0065,Mehran Enterprises,Mobile Accessories,1161,93,22,8.01,6.63,1.9,False
S0066,Saddar Collection,Mobile Accessories,636,44,5,6.92,6.63,0.3,False
S0067,Sitara Outlet,Mobile Accessories,145,9,1,6.21,6.63,-0.2,False
S0068,Liberty Traders,Mobile Accessories,80,6,1,7.5,6.63,0.31,False
S0069,Mehran Traders,Mobile Accessories,280,20,2,7.14,6.63,0.35,False
S0070,Mehran Mart,Mobile Accessories,251,14,3,5.58,6.63,-0.67,False
S0071,Clifton Traders,Mobile Accessories,1175,78,14,6.64,6.63,0.02,False
S0072,Johar Store,Mobile Accessories,532,27,5,5.08,6.63,-1.44,False
S0073,Sitara Store,Mobile Accessories,332,21,3,6.33,6.63,-0.22,False
S0074,Anarkali Outlet,Mobile Accessories,2359,132,24,5.6,6.63,-2.01,False
S0075,Ravi Outlet,Mobile Accessories,618,47,5,7.61,6.63,0.98,False
S0076,Johar Enterprises,Mobile Accessories,722,59,12,8.17,6.63,1.67,False
S0077,Bolan Outlet,Mobile Accessories,1126,73,18,6.48,6.63,-0.19,False
S0078,Ravi Collection,Home & Kitchen,773,35,5,4.53,4.71,-0.24,False
S0079,Johar Collection,Home & Kitchen,683,38,8,5.56,4.71,1.05,False
S0080,Anarkali Mart,Home & Kitchen,535,26,2,4.86,4.71,0.16,False
S0081,Hayat Outlet,Home & Kitchen,600,23,6,3.83,4.71,-1.02,False
S0082,Bolan Enterprises,Home & Kitchen,120,6,1,5.0,4.71,0.15,False
S0083,Rehmat Emporium,Home & Kitchen,440,23,4,5.23,4.71,0.51,False
S0084,Gulberg Emporium,Home & Kitchen,788,34,9,4.31,4.71,-0.53,False
S0085,Johar Traders,Home & Kitchen,274,11,3,4.01,4.71,-0.54,False
S0086,Barkat Traders,Home & Kitchen,704,29,8,4.12,4.71,-0.74,False
S0087,Anarkali Enterprises,Home & Kitchen,450,15,3,3.33,4.71,-1.38,False
S0088,Barkat Emporium,Home & Kitchen,768,40,7,5.21,4.71,0.65,False
S0089,Crescent Store,Home & Kitchen,238,8,4,3.36,4.71,-0.98,False
S0090,Barkat Enterprises,Home & Kitchen,724,37,7,5.11,4.71,0.51,False
S0091,Crescent Outlet,Home & Kitchen,431,23,3,5.34,4.71,0.61,False
S0092,Liberty Emporium,Home & Kitchen,280,12,2,4.29,4.71,-0.34,False
S0093,Barkat Mart,Home & Kitchen,441,26,4,5.9,4.71,1.17,False
S0094,Rehmat Mart,Home & Kitchen,674,37,5,5.49,4.71,0.95,False
S0095,Madina Outlet,Home & Kitchen,954,36,7,3.77,4.71,-1.37,False
S0096,Indus Store,Home & Kitchen,1256,70,12,5.57,4.71,1.44,False
S0097,Crescent Mart,Home & Kitchen,37,6,3,16.22,4.71,3.3,False
S0098,Anarkali Traders,Home & Kitchen,1439,67,11,4.66,4.71,-0.1,False
S0099,Liberty Emporium,Home & Kitchen,2439,107,23,4.39,4.71,-0.76,False
S0100,Barkat Enterprises,Beauty & Personal Care,562,23,7,4.09,3.6,0.62,False
S0101,Al-Noor Mart,Beauty & Personal Care,798,37,8,4.64,3.6,1.57,False
S0102,Saddar Outlet,Beauty & Personal Care,495,18,1,3.64,3.6,0.04,False
S0103,Al-Noor Traders,Beauty & Personal Care,399,8,4,2.01,3.6,-1.71,False
S0104,Johar Traders,Beauty & Personal Care,1447,45,4,3.11,3.6,-1.01,False
S0105,Liberty Collection,Beauty & Personal Care,190,8,1,4.21,3.6,0.45,False
S0106,Chenab Emporium,Beauty & Personal Care,554,22,4,3.97,3.6,0.47,False
S0107,Mehran Emporium,Beauty & Personal Care,270,9,1,3.33,3.6,-0.24,False
S0108,Ravi Traders,Beauty & Personal Care,356,11,3,3.09,3.6,-0.52,False
S0109,Mehran Emporium,Beauty & Personal Care,156,6,0,3.85,3.6,0.16,False
S0110,Crescent Traders,Beauty & Personal Care,157,2,0,1.27,3.6,-1.57,False
S0111,Madina Enterprises,Beauty & Personal Care,1192,39,4,3.27,3.6,-0.61,False
S0112,Al-Noor Collection,Beauty & Personal Care,2393,90,13,3.76,3.6,0.41,False
S0113,Clifton Traders,Beauty & Personal Care,727,32,4,4.4,3.6,1.16,False
S0114,Liberty Emporium,Beauty & Personal Care,128,7,1,5.47,3.6,1.13,False
S0115,Saddar Outlet,Beauty & Personal Care,723,23,5,3.18,3.6,-0.61,False
S0116,Kohinoor Emporium,Grocery,297,8,4,2.69,1.74,1.26,False
S0117,Anarkali Emporium,Grocery,628,8,3,1.27,1.74,-0.89,False
S0118,Indus Collection,Grocery,256,3,0,1.17,1.74,-0.7,False
S0119,Crescent Traders,Grocery,815,19,3,2.33,1.74,1.29,False
S0120,Johar Mart,Grocery,217,1,0,0.46,1.74,-1.44,False
S0121,Indus Mart,Grocery,509,16,2,3.14,1.74,2.42,False
S0122,Sitara Traders,Grocery,564,10,1,1.77,1.74,0.06,False
S0123,Madina Emporium,Grocery,928,21,3,2.26,1.74,1.22,False
S0124,Gulberg Emporium,Grocery,114,0,0,0.0,1.74,-1.42,False
S0125,Indus Store,Grocery,290,4,3,1.38,1.74,-0.47,False
S0126,Mehran Enterprises,Grocery,1840,21,4,1.14,1.74,-1.96,False
S0127,Barkat Store,Grocery,997,17,3,1.71,1.74,-0.08,False
S0128,Saddar Store,Grocery,905,16,4,1.77,1.74,0.06,False
S0129,Mehran Traders,Grocery,777,15,5,1.93,1.74,0.41,False
S0130,Barkat Mart,Baby & Toys,502,21,3,4.18,4.67,-0.51,False
S0131,Barkat Enterprises,Baby & Toys,172,6,0,3.49,4.67,-0.73,False
S0132,Hayat Traders,Baby & Toys,299,17,1,5.69,4.67,0.84,False
S0133,Anarkali Enterprises,Baby & Toys,1011,54,11,5.34,4.67,1.02,False
S0134,Rehmat Mart,Baby & Toys,1236,49,13,3.96,4.67,-1.17,False
S0135,Rehmat Store,Baby & Toys,159,6,2,3.77,4.67,-0.53,False
S0136,Sitara Outlet,Baby & Toys,1655,76,10,4.59,4.67,-0.14,False
S0137,Hayat Traders,Baby & Toys,280,19,4,6.79,4.67,1.68,False
