cohort_month,months_since_first,cohort_size,active_customers,retention_pct
2024-06-01,3,725,84,11.59
2024-06-01,4,725,85,11.72
2024-06-01,5,725,68,9.38
2024-06-01,6,725,50,6.90
2024-06-01,7,725,28,3.86
2024-06-01,8,725,31,4.28
2024-06-01,9,725,31,4.28
2024-06-01,10,725,16,2.21
2024-06-01,11,725,13,1.79
2024-06-01,12,725,17,2.34
2024-07-01,0,771,771,100.00
2024-07-01,1,771,221,28.66
2024-07-01,2,771,117,15.18
2024-07-01,3,771,93,12.06
2024-07-01,4,771,103,13.36
2024-07-01,5,771,63,8.17
2024-07-01,6,771,46,5.97
2024-07-01,7,771,43,5.58
2024-07-01,8,771,41,5.32
2024-07-01,9,771,27,3.50
2024-07-01,10,771,24,3.11
2024-07-01,11,771,10,1.30
2024-07-01,12,771,16,2.08
2024-08-01,0,864,864,100.00
2024-08-01,1,864,178,20.60
2024-08-01,2,864,125,14.47
2024-08-01,3,864,122,14.12
2024-08-01,4,864,73,8.45
2024-08-01,5,864,42,4.86
2024-08-01,6,864,36,4.17
2024-08-01,7,864,31,3.59
2024-08-01,8,864,27,3.13
2024-08-01,9,864,20,2.31
2024-08-01,10,864,15,1.74
2024-08-01,11,864,13,1.50
2024-08-01,12,864,10,1.16
2024-09-01,0,741,741,100.00
2024-09-01,1,741,192,25.91
2024-09-01,2,741,154,20.78
2024-09-01,3,741,129,17.41
2024-09-01,4,741,66,8.91
2024-09-01,5,741,44,5.94
2024-09-01,6,741,50,6.75
2024-09-01,7,741,32,4.32
2024-09-01,8,741,29,3.91
2024-09-01,9,741,20,2.70
2024-09-01,10,741,20,2.70
2024-09-01,11,741,18,2.43
2024-09-01,12,741,14,1.89
2024-10-01,0,833,833,100.00
2024-10-01,1,833,304,36.49
2024-10-01,2,833,141,16.93
2024-10-01,3,833,98,11.76
2024-10-01,4,833,60,7.20
2024-10-01,5,833,66,7.92
2024-10-01,6,833,28,3.36
2024-10-01,7,833,39,4.68
2024-10-01,8,833,28,3.36
2024-10-01,9,833,24,2.88
2024-10-01,10,833,23,2.76
2024-10-01,11,833,10,1.20
2024-10-01,12,833,9,1.08
2024-11-01,0,1193,1193,100.00
2024-11-01,1,1193,235,19.70
2024-11-01,2,1193,122,10.23
2024-11-01,3,1193,105,8.80
2024-11-01,4,1193,92,7.71
2024-11-01,5,1193,50,4.19
2024-11-01,6,1193,38,3.19
2024-11-01,7,1193,35,2.93
2024-11-01,8,1193,23,1.93
2024-11-01,9,1193,22,1.84
2024-11-01,10,1193,19,1.59
2024-11-01,11,1193,15,1.26
2024-11-01,12,1193,15,1.26
2024-12-01,0,1011,1011,100.00
2024-12-01,1,1011,182,18.00
2024-12-01,2,1011,118,11.67
2024-12-01,3,1011,120,11.87
2024-12-01,4,1011,62,6.13
2024-12-01,5,1011,60,5.93
2024-12-01,6,1011,50,4.95
2024-12-01,7,1011,34,3.36
2024-12-01,8,1011,23,2.27
2024-12-01,9,1011,23,2.27
2024-12-01,10,1011,14,1.38
2024-12-01,11,1011,15,1.48
2024-12-01,12,1011,10,0.99
2025-01-01,0,900,900,100.00
2025-01-01,1,900,210,23.33
2025-01-01,2,900,231,25.67
2025-01-01,3,900,136,15.11
2025-01-01,4,900,114,12.67
2025-01-01,5,900,80,8.89
2025-01-01,6,900,60,6.67
2025-01-01,7,900,58,6.44
2025-01-01,8,900,45,5.00
2025-01-01,9,900,22,2.44
2025-01-01,10,900,27,3.00
2025-01-01,11,900,21,2.33
2025-01-01,12,900,16,1.78
2025-02-01,0,847,847,100.00
2025-02-01,1,847,271,32.00
2025-02-01,2,847,146,17.24
2025-02-01,3,847,109,12.87
2025-02-01,4,847,72,8.50
2025-02-01,5,847,69,8.15
2025-02-01,6,847,56,6.61
2025-02-01,7,847,45,5.31
2025-02-01,8,847,32,3.78
2025-02-01,9,847,49,5.79
2025-02-01,10,847,28,3.31
2025-02-01,11,847,22,2.60
2025-02-01,12,847,14,1.65
2025-03-01,0,951,951,100.00
2025-03-01,1,951,181,19.03
2025-03-01,2,951,143,15.04
2025-03-01,3,951,123,12.93
2025-03-01,4,951,74,7.78
2025-03-01,5,951,67,7.05
2025-03-01,6,951,51,5.36
2025-03-01,7,951,38,4.00
2025-03-01,8,951,35,3.68
2025-03-01,9,951,30,3.15
2025-03-01,10,951,20,2.10
2025-03-01,11,951,17,1.79
2025-03-01,12,951,22,2.31
2025-04-01,0,962,962,100.00
2025-04-01,1,962,232,24.12
2025-04-01,2,962,170,17.67
2025-04-01,3,962,123,12.79
2025-04-01,4,962,99,10.29
2025-04-01,5,962,67,6.96
2025-04-01,6,962,53,5.51
2025-04-01,7,962,71,7.38
2025-04-01,8,962,34,3.53
2025-04-01,9,962,16,1.66
2025-04-01,10,962,19,1.98
2025-04-01,11,962,24,2.49
2025-04-01,12,962,16,1.66
2025-05-01,0,1019,1019,100.00
2025-05-01,1,1019,234,22.96
2025-05-01,2,1019,168,16.49
2025-05-01,3,1019,145,14.23
2025-05-01,4,1019,88,8.64
2025-05-01,5,1019,76,7.46
2025-05-01,6,1019,79,7.75
2025-05-01,7,1019,60,5.89
2025-05-01,8,1019,28,2.75
2025-05-01,9,1019,19,1.86
2025-05-01,10,1019,30,2.94
2025-05-01,11,1019,22,2.16
2025-05-01,12,1019,12,1.18
2025-06-01,0,904,904,100.00
2025-06-01,1,904,182,20.13
2025-06-01,2,904,153,16.92
2025-06-01,3,904,98,10.84
2025-06-01,4,904,89,9.85
2025-06-01,5,904,102,11.28
2025-06-01,6,904,59,6.53
2025-06-01,7,904,37,4.09
2025-06-01,8,904,25,2.77
2025-06-01,9,904,33,3.65
2025-06-01,10,904,19,2.10
2025-06-01,11,904,14,1.55
2025-06-01,12,904,11,1.22
2025-07-01,0,1160,1160,100.00
2025-07-01,1,1160,315,27.16
2025-07-01,2,1160,179,15.43
2025-07-01,3,1160,130,11.21
2025-07-01,4,1160,140,12.07
2025-07-01,5,1160,91,7.84
2025-07-01,6,1160,59,5.09
2025-07-01,7,1160,32,2.76
2025-07-01,8,1160,48,4.14
2025-07-01,9,1160,30,2.59
2025-07-01,10,1160,24,2.07
2025-07-01,11,1160,18,1.55
2025-08-01,0,1220,1220,100.00
2025-08-01,1,1220,229,18.77
2025-08-01,2,1220,169,13.85
2025-08-01,3,1220,170,13.93
2025-08-01,4,1220,107,8.77
2025-08-01,5,1220,76,6.23
2025-08-01,6,1220,47,3.85
2025-08-01,7,1220,57,4.67
2025-08-01,8,1220,28,2.30
2025-08-01,9,1220,18,1.48
2025-08-01,10,1220,18,1.48
2025-09-01,0,1063,1063,100.00
2025-09-01,1,1063,264,24.84
2025-09-01,2,1063,253,23.80
2025-09-01,3,1063,151,14.21
2025-09-01,4,1063,106,9.97
2025-09-01,5,1063,79,7.43
2025-09-01,6,1063,60,5.64
2025-09-01,7,1063,57,5.36
2025-09-01,8,1063,42,3.95
2025-09-01,9,1063,31,2.92
2025-10-01,0,1239,1239,100.00
2025-10-01,1,1239,439,35.43
2025-10-01,2,1239,238,19.21
2025-10-01,3,1239,122,9.85
2025-10-01,4,1239,101,8.15
2025-10-01,5,1239,126,10.17
2025-10-01,6,1239,74,5.97
2025-10-01,7,1239,59,4.76
2025-10-01,8,1239,47,3.79
2025-11-01,0,1749,1749,100.00
2025-11-01,1,1749,370,21.15
2025-11-01,2,1749,156,8.92
2025-11-01,3,1749,127,7.26
2025-11-01,4,1749,114,6.52
2025-11-01,5,1749,68,3.89
2025-11-01,6,1749,53,3.03
2025-11-01,7,1749,26,1.49
2025-12-01,0,1555,1555,100.00
2025-12-01,1,1555,293,18.84
2025-12-01,2,1555,180,11.58
2025-12-01,3,1555,171,11.00
2025-12-01,4,1555,104,6.69
2025-12-01,5,1555,77,4.95
2025-12-01,6,1555,60,3.86
2026-01-01,0,1339,1339,100.00
2026-01-01,1,1339,312,23.30
2026-01-01,2,1339,335,25.02
2026-01-01,3,1339,177,13.22
2026-01-01,4,1339,154,11.50
2026-01-01,5,1339,103,7.69
2026-02-01,0,1253,1253,100.00
2026-02-01,1,1253,454,36.23
2026-02-01,2,1253,209,16.68
2026-02-01,3,1253,152,12.13
2026-02-01,4,1253,138,11.01
2026-03-01,0,1473,1473,100.00
2026-03-01,1,1473,310,21.05
2026-03-01,2,1473,231,15.68
2026-03-01,3,1473,165,11.20
2026-04-01,0,1410,1410,100.00
2026-04-01,1,1410,342,24.26
2026-04-01,2,1410,234,16.60
2026-05-01,0,1450,1450,100.00
2026-05-01,1,1450,278,19.17
2026-06-01,0,1515,1515,100.00
