order_date,orders,gmv
2024-08-20,41,344677.0
2024-08-21,41,735493.0
2024-08-22,42,391098.0
2024-08-23,43,342500.0
2024-08-24,61,486255.0
2024-08-25,67,509947.0
2024-08-26,61,422194.0
2024-08-27,53,391535.0
2024-08-28,42,367028.0
2024-08-29,60,390021.0
2024-08-30,52,323574.0
2024-08-31,52,559077.0
2024-09-01,45,391402.0
2024-09-02,47,550409.0
2024-09-03,54,628615.0
2024-09-04,56,298252.0
2024-09-05,55,632428.0
2024-09-06,41,452060.0
2024-09-07,60,355683.0
2024-09-08,61,391891.0
2024-09-09,41,397351.0
2024-09-10,55,446255.0
2024-09-11,55,461976.0
2024-09-12,59,826280.0
2024-09-13,51,734622.0
2024-09-14,53,373305.0
2024-09-15,53,349930.0
2024-09-16,49,331182.0
2024-09-17,56,628520.0
2024-09-18,48,245493.0
2024-09-19,45,471004.0
2024-09-20,57,445992.0
2024-09-21,58,468806.0
2024-09-22,48,475666.0
2024-09-23,49,517567.0
2024-09-24,56,553969.0
2024-09-25,61,406062.0
2024-09-26,62,437033.0
2024-09-27,64,338405.0
2024-09-28,55,495293.0
2024-09-29,49,417099.0
2024-09-30,50,316942.0
2024-10-01,56,581815.0
2024-10-02,56,515102.0
2024-10-03,41,295279.0
2024-10-04,48,865272.0
2024-10-05,67,528874.0
2024-10-06,63,836266.0
2024-10-07,58,526739.0
2024-10-08,67,604022.0
2024-10-09,43,602408.0
2024-10-10,54,617890.0
2024-10-11,58,444102.0
2024-10-12,60,537207.0
2024-10-13,53,480254.0
2024-10-14,64,468805.0
2024-10-15,56,465772.0
2024-10-16,47,475019.0
2024-10-17,61,666873.0
2024-10-18,65,351313.0
2024-10-19,62,591059.0
2024-10-20,54,313725.0
2024-10-21,70,407994.0
2024-10-22,54,436530.0
2024-10-23,80,497623.0
2024-10-24,63,707783.0
2024-10-25,54,439772.0
2024-10-26,53,469837.0
2024-10-27,83,618269.0
2024-10-28,47,289644.0
2024-10-29,65,744550.0
2024-10-30,55,595284.0
2024-10-31,60,497415.0
2024-11-01,55,542961.0
2024-11-02,74,705214.0
2024-11-03,62,514946.0
2024-11-04,61,400765.0
2024-11-05,42,339267.0
2024-11-06,62,739465.0
2024-11-07,54,585046.0
2024-11-08,48,366969.0
2024-11-09,80,481092.0
2024-11-10,95,640891.0
2024-11-11,474,4353728.0
2024-11-12,77,444932.0
2024-11-13,61,516575.0
2024-11-14,76,817694.0
2024-11-15,80,581686.0
2024-11-16,85,1021175.0
2024-11-17,54,439564.0
2024-11-18,57,695601.0
2024-11-19,66,362016.0
2024-11-20,70,766372.0
2024-11-21,54,746546.0
2024-11-22,57,442783.0
2024-11-23,68,614791.0
2024-11-24,64,564603.0
2024-11-25,49,389151.0
2024-11-26,51,283837.0
2024-11-27,44,313635.0
2024-11-28,74,393437.0
2024-11-29,344,3350503.0
2024-11-30,93,716027.0
2024-12-01,73,850272.0
2024-12-02,59,533015.0
2024-12-03,64,353430.0
2024-12-04,67,983598.0
2024-12-05,62,645403.0
2024-12-06,62,684537.0
2024-12-07,69,431310.0
2024-12-08,58,552908.0
2024-12-09,59,634763.0
2024-12-10,56,548704.0
2024-12-11,92,943708.0
2024-12-12,320,3007184.0
2024-12-13,62,267640.0
2024-12-14,62,538131.0
2024-12-15,65,501692.0
2024-12-16,47,353812.0
2024-12-17,73,591179.0
2024-12-18,56,608082.0
2024-12-19,56,372374.0
2024-12-20,63,629545.0
2024-12-21,50,268650.0
2024-12-22,72,585374.0
2024-12-23,67,702550.0
2024-12-24,58,397319.0
2024-12-25,60,443464.0
2024-12-26,55,455522.0
2024-12-27,52,374138.0
2024-12-28,74,478297.0
2024-12-29,59,463749.0
2024-12-30,50,434054.0
2024-12-31,48,452682.0
2025-01-01,60,545536.0
2025-01-02,49,253153.0
2025-01-03,60,566172.0
2025-01-04,60,731877.0
2025-01-05,71,594900.0
2025-01-06,57,480162.0
2025-01-07,62,498356.0
2025-01-08,66,751505.0
2025-01-09,69,466184.0
2025-01-10,54,393340.0
2025-01-11,63,450994.0
2025-01-12,59,470786.0
2025-01-13,60,499396.0
2025-01-14,54,406150.0
2025-01-15,66,639098.0
2025-01-16,56,404842.0
2025-01-17,72,643638.0
2025-01-18,61,664920.0
2025-01-19,69,490439.0
2025-01-20,53,372714.0
2025-01-21,52,432949.0
2025-01-22,71,628397.0
2025-01-23,54,608911.0
2025-01-24,53,632656.0
2025-01-25,75,620176.0
2025-01-26,64,674867.0
2025-01-27,54,441523.0
2025-01-28,66,716869.0
2025-01-29,62,543222.0
2025-01-30,62,586343.0
2025-01-31,68,578433.0
2025-02-01,73,547137.0
2025-02-02,72,574408.0
2025-02-03,60,727888.0
2025-02-04,66,560736.0
2025-02-05,60,461188.0
2025-02-06,77,519110.0
2025-02-07,52,529328.0
2025-02-08,72,533185.0
2025-02-09,61,444723.0
2025-02-10,57,454762.0
2025-02-11,65,474734.0
2025-02-12,59,585383.0
2025-02-13,69,573322.0
2025-02-14,69,443960.0
2025-02-15,72,681486.0
2025-02-16,67,507358.0
2025-02-17,77,840362.0
2025-02-18,60,476279.0
2025-02-19,74,654813.0
2025-02-20,69,586626.0
2025-02-21,68,588102.0
2025-02-22,71,977528.0
2025-02-23,68,769235.0
2025-02-24,74,473792.0
2025-02-25,61,680164.0
2025-02-26,62,418893.0
2025-02-27,57,551892.0
2025-02-28,76,410956.0
2025-03-01,72,530182.0
2025-03-02,70,376540.0
2025-03-03,63,631557.0
2025-03-04,47,413200.0
2025-03-05,63,460853.0
2025-03-06,60,663125.0
2025-03-07,67,529040.0
2025-03-08,70,564167.0
2025-03-09,63,478521.0
2025-03-10,66,726164.0
2025-03-11,77,547890.0
2025-03-12,60,384763.0
2025-03-13,64,284247.0
2025-03-14,64,516124.0
2025-03-15,73,492735.0
2025-03-16,56,377025.0
2025-03-17,53,570495.0
2025-03-18,63,711652.0
2025-03-19,68,618688.0
2025-03-20,59,639560.0
2025-03-21,127,1151291.0
2025-03-22,116,941413.0
2025-03-23,127,1133096.0
2025-03-24,107,1050552.0
2025-03-25,123,773292.0
2025-03-26,117,1141681.0
2025-03-27,110,976459.0
2025-03-28,100,743220.0
2025-03-29,122,1066427.0
2025-03-30,125,1197895.0
2025-03-31,33,316310.0
2025-04-01,35,506309.0
2025-04-02,44,374133.0
2025-04-03,91,765948.0
2025-04-04,61,445698.0
2025-04-05,78,555148.0
2025-04-06,66,583313.0
2025-04-07,69,541698.0
2025-04-08,64,384150.0
2025-04-09,69,531932.0
2025-04-10,61,438147.0
2025-04-11,74,553996.0
2025-04-12,73,636491.0
2025-04-13,66,352567.0
2025-04-14,70,574162.0
2025-04-15,74,561058.0
2025-04-16,56,661537.0
2025-04-17,72,659823.0
2025-04-18,73,613078.0
2025-04-19,82,623904.0
2025-04-20,77,701177.0
2025-04-21,65,492401.0
2025-04-22,72,592721.0
2025-04-23,65,612535.0
2025-04-24,73,747731.0
2025-04-25,74,605320.0
2025-04-26,73,524818.0
2025-04-27,67,544707.0
2025-04-28,67,370482.0
2025-04-29,81,861916.0
2025-04-30,64,498131.0
2025-05-01,79,911750.0
2025-05-02,63,499723.0
2025-05-03,73,549980.0
2025-05-04,80,467989.0
2025-05-05,73,554294.0
2025-05-06,64,594859.0
2025-05-07,68,466912.0
2025-05-08,64,476415.0
2025-05-09,77,736416.0
2025-05-10,63,450330.0
2025-05-11,89,795826.0
2025-05-12,47,556462.0
2025-05-13,73,621786.0
2025-05-14,80,487848.0
2025-05-15,79,929554.0
2025-05-16,65,378858.0
2025-05-17,81,1019262.0
2025-05-18,72,799373.0
2025-05-19,86,1019640.0
2025-05-20,75,689791.0
2025-05-21,92,948926.0
2025-05-22,73,630095.0
2025-05-23,75,551671.0
2025-05-24,83,871007.0
2025-05-25,74,753142.0
2025-05-26,76,590725.0
2025-05-27,85,705135.0
2025-05-28,74,712118.0
2025-05-29,75,646703.0
2025-05-30,72,584361.0
2025-05-31,78,508208.0
2025-06-01,79,840303.0
2025-06-02,68,607275.0
2025-06-03,68,497475.0
2025-06-04,78,416967.0
2025-06-05,70,507019.0
2025-06-06,77,663419.0
2025-06-07,52,432804.0
2025-06-08,41,224881.0
2025-06-09,47,503771.0
2025-06-10,90,787797.0
2025-06-11,94,612764.0
2025-06-12,60,615769.0
2025-06-13,58,599981.0
2025-06-14,94,1002885.0
2025-06-15,95,836311.0
2025-06-16,78,428230.0
2025-06-17,74,496924.0
2025-06-18,73,735730.0
2025-06-19,65,495255.0
2025-06-20,77,466783.0
2025-06-21,80,1103861.0
2025-06-22,66,449469.0
2025-06-23,65,707839.0
2025-06-24,71,935514.0
2025-06-25,69,837920.0
2025-06-26,61,546365.0
2025-06-27,75,453457.0
2025-06-28,67,438138.0
2025-06-29,83,806245.0
2025-06-30,87,882023.0
2025-07-01,66,451211.0
2025-07-02,71,435040.0
2025-07-03,65,497899.0
2025-07-04,74,698674.0
2025-07-05,77,910530.0
2025-07-06,95,699160.0
2025-07-07,88,910864.0
2025-07-08,55,507278.0
2025-07-09,77,535341.0
2025-07-10,81,915266.0
2025-07-11,75,408291.0
2025-07-12,79,681888.0
2025-07-13,92,742652.0
2025-07-14,75,692417.0
2025-07-15,84,667647.0
2025-07-16,83,810277.0
2025-07-17,51,475547.0
2025-07-18,79,729977.0
2025-07-19,93,937183.0
2025-07-20,100,987895.0
2025-07-21,63,746779.0
2025-07-22,74,731730.0
2025-07-23,77,881807.0
2025-07-24,77,498901.0
2025-07-25,85,597816.0
2025-07-26,85,936017.0
2025-07-27,84,596882.0
2025-07-28,85,960361.0
2025-07-29,79,898249.0
2025-07-30,73,622871.0
2025-07-31,78,650804.0
2025-08-01,81,703485.0
2025-08-02,89,566705.0
2025-08-03,88,853920.0
2025-08-04,91,624131.0
2025-08-05,83,699512.0
2025-08-06,89,852076.0
2025-08-07,68,436155.0
2025-08-08,79,652478.0
2025-08-09,88,861356.0
2025-08-10,86,1060051.0
2025-08-11,71,573167.0
2025-08-12,84,632330.0
2025-08-13,96,532335.0
2025-08-14,287,2990806.0
2025-08-15,107,626222.0
2025-08-16,84,710985.0
2025-08-17,91,720942.0
2025-08-18,84,811126.0
2025-08-19,77,530956.0
2025-08-20,88,914962.0
2025-08-21,84,568161.0
2025-08-22,76,552664.0
2025-08-23,111,750096.0
2025-08-24,78,850242.0
2025-08-25,90,837675.0
2025-08-26,76,614311.0
2025-08-27,84,851445.0
2025-08-28,77,647089.0
2025-08-29,62,663921.0
2025-08-30,79,692851.0
2025-08-31,74,866435.0
2025-09-01,88,817367.0
2025-09-02,84,667702.0
2025-09-03,84,1022157.0
2025-09-04,87,1089497.0
2025-09-05,82,910581.0
2025-09-06,94,889692.0
2025-09-07,93,815414.0
2025-09-08,76,709695.0
2025-09-09,90,673976.0
2025-09-10,74,599453.0
2025-09-11,63,623622.0
2025-09-12,79,760922.0
2025-09-13,94,1152672.0
2025-09-14,76,744945.0
2025-09-15,69,515955.0
2025-09-16,75,524103.0
2025-09-17,72,831509.0
2025-09-18,74,773592.0
2025-09-19,79,609275.0
2025-09-20,75,713477.0
2025-09-21,93,648534.0
2025-09-22,76,632390.0
2025-09-23,85,798647.0
2025-09-24,79,642923.0
2025-09-25,74,559801.0
2025-09-26,76,698629.0
2025-09-27,92,1090369.0
2025-09-28,86,788392.0
2025-09-29,66,600530.0
2025-09-30,83,651967.0
2025-10-01,89,668281.0
2025-10-02,77,770233.0
2025-10-03,91,638714.0
2025-10-04,88,672502.0
2025-10-05,77,600488.0
2025-10-06,93,697466.0
2025-10-07,76,702361.0
2025-10-08,87,1260709.0
2025-10-09,79,618370.0
2025-10-10,84,846072.0
2025-10-11,91,594519.0
2025-10-12,96,1134761.0
2025-10-13,68,451037.0
2025-10-14,95,875460.0
2025-10-15,104,952384.0
2025-10-16,80,910467.0
2025-10-17,77,513024.0
2025-10-18,97,843077.0
2025-10-19,114,990943.0
2025-10-20,88,917374.0
2025-10-21,60,467194.0
2025-10-22,78,878678.0
2025-10-23,98,867220.0
2025-10-24,101,751098.0
2025-10-25,73,747447.0
2025-10-26,84,975432.0
2025-10-27,102,1003386.0
2025-10-28,89,487277.0
2025-10-29,98,828179.0
2025-10-30,110,690595.0
2025-10-31,79,586243.0
2025-11-01,85,403148.0
2025-11-02,101,755710.0
2025-11-03,76,642821.0
2025-11-04,76,440169.0
2025-11-05,80,577597.0
2025-11-06,97,923816.0
2025-11-07,96,1250222.0
2025-11-08,96,659988.0
2025-11-09,91,1177771.0
2025-11-10,141,1013544.0
2025-11-11,755,6329779.0
2025-11-12,134,1007612.0
2025-11-13,102,987703.0
2025-11-14,102,681343.0
2025-11-15,95,1060933.0
2025-11-16,115,951568.0
2025-11-17,86,622258.0
2025-11-18,94,604347.0
2025-11-19,85,507760.0
2025-11-20,102,918036.0
2025-11-21,94,1134450.0
2025-11-22,124,940046.0
2025-11-23,114,855853.0
2025-11-24,91,837506.0
2025-11-25,77,608182.0
2025-11-26,88,707083.0
2025-11-27,108,761038.0
2025-11-28,603,5183343.0
2025-11-29,122,698335.0
2025-11-30,105,860422.0
2025-12-01,88,872317.0
2025-12-02,95,757668.0
2025-12-03,103,786727.0
2025-12-04,96,591956.0
2025-12-05,88,952847.0
2025-12-06,106,696281.0
2025-12-07,79,596340.0
2025-12-08,93,776995.0
2025-12-09,93,1065275.0
2025-12-10,88,1020730.0
2025-12-11,106,749241.0
2025-12-12,520,5989848.0
2025-12-13,106,648493.0
2025-12-14,100,1244911.0
2025-12-15,100,1050384.0
2025-12-16,87,845774.0
2025-12-17,106,1064620.0
2025-12-18,84,1036091.0
2025-12-19,90,673141.0
2025-12-20,97,1013537.0
2025-12-21,101,1033552.0
2025-12-22,92,947060.0
2025-12-23,91,895462.0
2025-12-24,88,693038.0
2025-12-25,87,900374.0
2025-12-26,89,877056.0
2025-12-27,67,388716.0
2025-12-28,102,1026839.0
2025-12-29,70,371491.0
2025-12-30,84,475101.0
2025-12-31,96,986651.0
2026-01-01,77,648865.0
2026-01-02,80,589295.0
2026-01-03,97,1002841.0
2026-01-04,94,759778.0
2026-01-05,89,749866.0
2026-01-06,88,931416.0
2026-01-07,83,845034.0
2026-01-08,97,679864.0
2026-01-09,89,783293.0
2026-01-10,76,660749.0
2026-01-11,108,860347.0
2026-01-12,81,813659.0
2026-01-13,90,1004714.0
2026-01-14,75,739947.0
2026-01-15,97,618967.0
2026-01-16,96,1176360.0
2026-01-17,103,1007944.0
2026-01-18,92,1022572.0
2026-01-19,89,812720.0
2026-01-20,93,811269.0
2026-01-21,92,957018.0
2026-01-22,81,705906.0
2026-01-23,104,820800.0
2026-01-24,108,886734.0
2026-01-25,80,678104.0
2026-01-26,96,742612.0
2026-01-27,90,979882.0
2026-01-28,92,670075.0
2026-01-29,91,654657.0
2026-01-30,84,975005.0
2026-01-31,108,993196.0
2026-02-01,115,774241.0
2026-02-02,97,845766.0
2026-02-03,98,616183.0
2026-02-04,106,858857.0
2026-02-05,105,646368.0
2026-02-06,76,526016.0
2026-02-07,107,1041926.0
2026-02-08,95,728737.0
2026-02-09,99,757496.0
2026-02-10,95,444445.0
2026-02-11,105,907495.0
2026-02-12,94,862210.0
2026-02-13,118,705974.0
2026-02-14,133,1276328.0
2026-02-15,84,614527.0
2026-02-16,109,1028494.0
2026-02-17,105,625502.0
2026-02-18,109,1020943.0
2026-02-19,75,660465.0
2026-02-20,93,562267.0
2026-02-21,102,697636.0
2026-02-22,93,839823.0
2026-02-23,74,679014.0
2026-02-24,82,851494.0
2026-02-25,91,817645.0
2026-02-26,93,672383.0
2026-02-27,102,1411368.0
2026-02-28,99,741357.0
2026-03-01,105,1000646.0
2026-03-02,101,1102546.0
2026-03-03,95,756553.0
2026-03-04,94,948277.0
2026-03-05,101,679049.0
2026-03-06,93,597540.0
2026-03-07,72,587115.0
2026-03-08,101,767069.0
2026-03-09,100,734453.0
2026-03-10,78,686849.0
2026-03-11,191,1386577.0
2026-03-12,184,1297840.0
2026-03-13,196,1474552.0
2026-03-14,174,1190766.0
2026-03-15,193,1462822.0
2026-03-16,182,1061247.0
2026-03-17,186,1150869.0
2026-03-18,173,1228518.0
2026-03-19,179,1115053.0
2026-03-20,184,1198430.0
2026-03-21,70,854021.0
2026-03-22,61,624696.0
2026-03-23,56,321588.0
2026-03-24,117,1297470.0
2026-03-25,125,873880.0
2026-03-26,98,746357.0
2026-03-27,106,859443.0
2026-03-28,104,1235296.0
2026-03-29,93,1013420.0
2026-03-30,109,975455.0
2026-03-31,97,954927.0
2026-04-01,100,1023625.0
2026-04-02,101,769671.0
2026-04-03,101,742824.0
2026-04-04,107,1039586.0
2026-04-05,133,800816.0
2026-04-06,100,1242272.0
2026-04-07,104,924530.0
2026-04-08,93,756572.0
2026-04-09,107,1125727.0
2026-04-10,90,911620.0
2026-04-11,140,1309609.0
2026-04-12,93,532585.0
2026-04-13,118,923095.0
2026-04-14,122,1043407.0
2026-04-15,107,948328.0
2026-04-16,89,1247877.0
2026-04-17,105,651704.0
2026-04-18,130,942641.0
2026-04-19,112,778240.0
2026-04-20,117,1063181.0
2026-04-21,79,764326.0
2026-04-22,90,852355.0
2026-04-23,100,1076114.0
2026-04-24,108,772932.0
2026-04-25,133,1212235.0
2026-04-26,95,921368.0
2026-04-27,93,782462.0
2026-04-28,86,649321.0
2026-04-29,106,821809.0
2026-04-30,97,927118.0
2026-05-01,106,1066118.0
2026-05-02,111,964453.0
2026-05-03,106,944293.0
2026-05-04,115,1052737.0
2026-05-05,111,900975.0
2026-05-06,98,598514.0
2026-05-07,105,878055.0
2026-05-08,100,726801.0
2026-05-09,107,941053.0
2026-05-10,116,1041384.0
2026-05-11,90,689887.0
2026-05-12,102,771587.0
2026-05-13,118,790885.0
2026-05-14,105,717941.0
2026-05-15,94,1014260.0
2026-05-16,120,989475.0
2026-05-17,109,1010929.0
2026-05-18,110,1077092.0
2026-05-19,113,1224793.0
2026-05-20,135,954269.0
2026-05-21,110,1090643.0
2026-05-22,105,891898.0
2026-05-23,111,874160.0
2026-05-24,109,1191217.0
2026-05-25,115,919178.0
2026-05-26,95,645179.0
2026-05-27,59,409300.0
2026-05-28,81,433750.0
2026-05-29,64,389096.0
2026-05-30,136,1257523.0
2026-05-31,128,1420290.0
2026-06-01,125,957827.0
2026-06-02,103,833992.0
2026-06-03,91,661231.0
2026-06-04,109,717180.0
2026-06-05,106,1163015.0
2026-06-06,107,832218.0
2026-06-07,117,874267.0
2026-06-08,106,977464.0
2026-06-09,97,566548.0
2026-06-10,99,671649.0
2026-06-11,102,1148658.0
2026-06-12,115,1009699.0
2026-06-13,118,829640.0
2026-06-14,124,800919.0
2026-06-15,116,1102364.0
2026-06-16,103,895741.0
2026-06-17,109,967252.0
2026-06-18,96,871733.0
2026-06-19,121,1276358.0
2026-06-20,110,1317603.0
2026-06-21,108,869966.0
2026-06-22,99,552102.0
2026-06-23,115,857770.0
2026-06-24,113,1402159.0
2026-06-25,96,790837.0
2026-06-26,107,679347.0
2026-06-27,112,943246.0
2026-06-28,140,1316240.0
2026-06-29,107,788883.0
2026-06-30,106,606197.0
